"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_49","P8_50","P8_51_1","P8_51_2","P8_52","P8_53_1","P8_53_2","P8_54_1","P8_54_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0001564","20","1","01","01","001300","01608","99","9","00","00","04","00","01","031","0000318",374,"2","4"
"0001582","19","1","02","01","002500","02500","08","1","00","00","04","00","01","030","0000319",371,"1","4"
"0001603","08","1","02","01","006000","01300","99","9","00","01","00","00","09","031","0000321",334,"2","4"
"0001603","08","1","02","02","007000","02100","99","9","00","00","03","00","01","031","0000321",334,"2","4"
"0001634","05","1","01","01","010000","01200","99","9","00","02","00","01","00","034","0000323",121,"4","1"
"0001654","02","1","02","01","002000","01580","99","9","00","00","04","00","01","032","0000329",713,"2","1"
"0001655","04","1","01","01","005000","01500","99","9","00","00","04","00","01","032","0000329",713,"2","1"
"0001674","01","1","02","01","012000","03904","99","9","00","00","04","00","04","033","0000335",247,"3","1"
"0001676","03","1","01","01","010000","02856","03","0","00","00","04","00","01","033","0000335",247,"3","1"
"0001677","04","1","01","01","010000","02400","16","0","00","00","05","00","04","033","0000335",247,"3","1"
"0001697","02","1","01","01","020000","10000","99","9","00","00","04","00","03","033","0000341",338,"3","1"
"0001697","02","1","05","01","010000","01200","99","9","00","00","05","00","02","033","0000341",338,"3","1"
"0001705","03","1","05","01","004000","00800","99","9","01","02","00","00","02","033","0000343",183,"3","1"
"0001742","05","1","02","01","005000","01688","99","9","00","00","04","00","02","032","0000352",482,"2","1"
"0001742","05","1","03","01","004160","00960","99","9","00","00","04","00","03","032","0000352",482,"2","1"
"0001744","02","1","01","01","008000","02400","99","9","00","00","04","00","01","032","0000353",535,"2","1"
"0001791","01","1","01","01","003000","00900","99","9","00","00","04","00","02","034","0000365",131,"4","1"
"0001797","04","1","01","01","010000","01200","12","0","00","00","04","00","02","034","0000366",140,"4","1"
"0001809","04","1","01","01","001400","01400","99","9","00","00","04","00","01","034","0000369",139,"4","1"
"0001824","01","1","02","01","002200","03300","99","9","00","00","04","00","01","032","0000374",479,"2","1"
"0001826","03","1","06","01","001000","01600","84","0","12","00","04","00","01","032","0000374",479,"2","1"
"0001831","03","1","01","01","010000","00900","99","9","00","00","05","00","02","032","0000375",561,"2","1"
"0001843","03","1","02","01","005000","01300","30","0","00","00","04","00","01","036","0000379",583,"2","1"
"0001867","04","1","01","01","005000","02000","99","9","00","00","03","00","03","035","0000386",400,"1","1"
"0001889","04","1","01","01","002320","00346","99","9","00","00","02","00","01","036","0000394",875,"2","1"
"0001889","04","1","03","01","005000","01600","99","9","00","00","04","00","02","036","0000394",875,"2","1"
"0001894","02","1","02","01","006000","01600","99","9","00","00","05","00","05","037","0000396",353,"3","1"
"0001922","04","1","01","01","004000","01400","99","9","00","00","04","00","03","038","0000405",285,"4","1"
"0001922","04","1","02","01","004000","02000","99","9","00","00","04","00","02","038","0000405",285,"4","1"
"0001931","04","1","01","01","012000","04000","99","9","00","00","05","00","02","038","0000409",266,"4","1"
"0001935","04","1","02","01","001000","00540","99","9","00","00","06","00","02","038","0000410",300,"4","1"
"0001935","04","1","03","01","002000","01000","99","9","00","00","06","00","01","038","0000410",300,"4","1"
"0001948","16","1","01","01","003000","01060","99","9","00","00","06","00","03","039","0000411",519,"2","2"
"0001950","19","1","06","01","002000","00420","03","0","00","00","06","00","05","039","0000411",519,"2","2"
"0001954","03","1","01","01","002000","01724","99","9","00","00","04","00","01","039","0000412",536,"2","2"
"0001957","07","1","01","01","004150","00830","99","9","00","00","04","00","01","039","0000412",536,"2","2"
"0001969","19","1","02","01","002000","01100","99","9","04","00","04","00","03","039","0000412",536,"2","2"
"0001985","17","1","02","01","005000","01200","99","9","00","00","06","00","01","040","0000413",622,"2","3"
"0001988","20","1","01","01","007000","00740","05","0","00","00","06","00","02","040","0000413",622,"2","3"
"0001988","20","1","01","02","002000","00200","05","0","00","00","03","00","01","040","0000413",622,"2","3"
"0001993","01","1","02","01","000750","00600","01","4","00","00","04","00","01","040","0000415",586,"2","3"
"0001993","01","1","03","01","002615","02092","08","0","00","00","04","00","02","040","0000415",586,"2","3"
"0001999","07","1","02","01","005000","01400","04","0","00","00","04","00","01","040","0000415",586,"2","3"
"0002017","10","1","01","01","005000","01200","45","0","00","00","06","00","02","040","0000416",750,"1","3"
"0002018","11","1","02","01","001042","02084","07","5","00","00","04","00","01","040","0000416",750,"1","3"
"0002087","07","1","02","01","002000","00760","99","9","01","00","04","00","03","041","0000423",716,"1","4"
"0002122","09","1","02","01","002000","00470","26","0","06","00","06","00","02","041","0000425",681,"1","4"
"0002168","04","1","02","01","006000","02800","99","9","00","00","04","00","02","055","0000432",1554,"2","1"
"0002171","03","1","02","01","018000","03500","99","9","00","00","04","00","03","051","0000433",1139,"4","1"
"0002171","03","1","02","02","999999","02000","99","9","00","01","00","00","08","051","0000433",1139,"4","1"
"0002171","03","1","03","01","040000","01600","99","9","00","01","00","00","06","051","0000433",1139,"4","1"
"0002181","01","1","02","01","007000","06800","99","9","00","00","04","00","02","049","0000438",2336,"2","1"
"0002192","03","1","05","01","999999","01520","99","9","00","00","04","00","01","050","0000441",2173,"3","1"
"0002204","03","1","02","01","004000","01200","99","9","00","00","04","00","04","050","0000444",1929,"3","1"
"0002205","04","1","02","01","003000","00820","99","9","00","00","05","00","03","050","0000444",1929,"3","1"
"0002206","01","1","01","01","004000","01480","99","9","00","00","04","00","03","050","0000445",1473,"3","1"
"0002233","03","1","02","01","999999","02000","99","9","00","00","04","00","03","053","0000453",4909,"2","1"
"0002233","03","1","02","02","999999","01200","99","9","00","00","04","00","04","053","0000453",4909,"2","1"
"0002297","04","1","02","01","007200","01200","07","5","00","00","04","00","01","043","0000474",1492,"3","1"
"0002336","05","1","03","01","004000","00900","99","9","00","00","05","00","02","042","0000485",2025,"2","1"
"0002345","01","1","02","01","020000","02500","99","9","00","01","00","00","11","043","0000489",1519,"3","1"
"0002361","01","1","02","01","006000","02250","99","9","00","00","04","00","05","042","0000494",1981,"2","1"
"0002362","02","1","02","01","000001","01200","99","9","00","00","04","00","01","042","0000494",1981,"2","1"
"0002392","05","1","02","01","008300","01280","99","9","00","01","06","00","08","047","0000504",1498,"3","1"
"0002408","01","1","02","01","003903","01301","99","9","00","00","05","00","02","046","0000510",1803,"2","1"
"0002411","02","1","03","01","003000","00330","10","0","00","00","04","00","02","047","0000511",1522,"3","1"
"0002416","01","1","02","01","001200","02000","99","9","00","00","04","00","01","046","0000513",1735,"2","1"
"0002416","01","1","06","01","002300","01495","99","9","00","00","02","00","01","046","0000513",1735,"2","1"
"0002418","05","1","01","01","007000","03200","99","9","00","00","04","00","03","046","0000513",1735,"2","1"
"0002429","03","1","02","01","006000","01400","12","0","00","00","05","00","02","046","0000516",1669,"2","1"
"0002440","03","1","02","01","012000","03520","99","9","00","00","04","00","02","047","0000519",1513,"3","1"
"0002478","04","1","02","01","001000","01000","99","9","00","00","04","00","01","046","0000528",1793,"2","1"
"0002507","03","1","02","01","001500","01200","99","9","00","00","04","00","01","057","0000536",2647,"3","2"
"0002563","06","1","02","01","030000","12000","99","9","00","00","04","00","03","057","0000542",2935,"2","3"
"0002592","11","1","03","01","006000","01300","99","9","00","00","04","00","02","058","0000545",1818,"2","4"
"0002621","12","1","02","01","004000","02000","99","9","01","00","04","00","01","058","0000547",1711,"2","4"
"0002681","03","1","03","01","002000","00500","99","9","00","00","03","00","01","060","0000563",376,"3","1"
"0002689","05","1","01","01","016000","05300","02","0","00","00","04","00","03","060","0000565",387,"3","1"
"0002699","05","1","01","01","005000","00500","17","0","04","01","02","00","03","060","0000568",391,"3","1"
"0002815","03","1","01","01","004000","01614","99","9","01","00","05","00","03","063","0000597",322,"3","1"
"0002815","03","1","01","02","005000","01750","99","9","02","00","05","00","02","063","0000597",322,"3","1"
"0002816","04","1","02","01","000980","01960","20","0","00","00","03","00","01","063","0000597",322,"3","1"
"0002819","02","1","01","01","006000","01100","99","9","01","00","04","00","02","063","0000598",330,"3","1"
"0002819","02","1","01","02","004000","00300","99","9","00","00","04","00","02","063","0000598",330,"3","1"
"0002841","02","1","01","01","010000","01300","99","9","00","01","00","00","11","062","0000603",451,"2","1"
"0002845","05","1","01","01","006000","01014","99","9","00","00","06","00","06","064","0000604",302,"4","1"
"0002866","05","1","02","01","003000","01800","99","9","00","00","08","00","02","064","0000609",175,"4","1"
"0002886","05","1","02","01","000512","00500","03","0","00","00","03","00","02","059","0000614",625,"2","1"
"0002920","03","1","01","01","000600","00150","99","9","00","01","06","00","06","059","0000623",604,"2","1"
"0003019","05","1","02","01","003000","02000","99","9","00","00","04","00","01","065","0000648",579,"2","2"
"0003059","10","1","02","01","005000","01480","99","9","00","00","04","00","02","065","0000650",505,"2","2"
"0003069","02","1","02","01","005000","00462","04","0","00","00","03","00","02","065","0000651",546,"2","2"
"0003142","13","1","02","01","005000","01720","99","9","01","00","04","00","02","067","0000656",395,"2","4"
"0003146","17","1","03","01","015000","02180","99","9","00","00","04","00","02","067","0000656",395,"2","4"
"0003163","16","1","02","01","004000","00334","99","9","00","00","04","00","04","067","0000657",368,"2","4"
"0003163","16","1","03","01","004000","01200","99","9","00","00","04","00","04","067","0000657",368,"2","4"
"0003170","04","1","01","01","003900","01300","99","9","00","01","00","00","03","067","0000658",379,"2","4"
"0003222","01","1","02","01","005000","04000","99","9","00","00","04","00","01","072","0000666",3909,"2","1"
"0003230","01","1","01","01","002100","01500","05","0","01","00","05","00","02","072","0000670",4602,"2","1"
"0003236","01","1","01","01","002100","02800","05","0","00","00","04","00","01","072","0000672",4008,"1","1"
"0003254","01","1","02","01","000400","00400","05","0","00","00","04","00","01","069","0000678",1286,"3","1"
"0003260","02","1","01","01","006000","01200","95","3","00","00","05","00","03","068","0000680",4170,"2","1"
"0003278","01","1","01","01","006000","01400","04","3","00","00","05","00","05","068","0000687",3060,"2","1"
"0003278","01","1","05","01","000800","01600","99","9","00","00","05","00","01","068","0000687",3060,"2","1"
"0003313","02","1","02","01","004000","01320","02","0","00","00","04","00","01","068","0000698",4872,"2","1"
"0003314","03","1","02","01","015000","01600","05","0","00","01","00","01","00","068","0000698",4872,"2","1"
"0003352","01","1","01","01","002000","00550","07","0","00","00","04","00","04","070","0000710",325,"4","1"
"0003352","01","1","02","01","005000","00439","99","9","00","00","04","00","02","070","0000710",325,"4","1"
"0003389","12","1","01","01","004000","01000","05","0","00","00","04","00","03","077","0000718",2962,"2","2"
"0003391","14","1","02","01","010000","02000","07","0","00","00","06","00","02","077","0000718",2962,"2","2"
"0003418","07","1","01","01","004000","01200","99","9","00","00","04","00","03","077","0000721",2730,"2","2"
"0003437","11","1","01","01","001290","00860","99","9","00","00","04","00","01","077","0000722",3975,"1","2"
"0003446","01","1","01","01","004000","00800","04","0","00","00","06","00","06","079","0000723",2088,"1","3"
"0003448","03","1","01","01","002000","01020","03","5","00","00","06","00","03","079","0000723",2088,"1","3"
"0003450","06","1","02","01","002000","00300","99","9","00","00","06","00","01","079","0000723",2088,"1","3"
"0003493","03","1","02","01","006000","01700","99","9","00","00","06","00","02","079","0000727",2306,"2","3"
"0003499","09","1","02","01","000604","00604","01","5","00","00","06","00","01","079","0000727",2306,"2","3"
"0003511","01","1","01","01","002000","02140","30","0","00","00","05","00","01","080","0000729",2622,"1","4"
"0003512","02","1","01","01","006000","01000","99","9","00","00","05","00","01","080","0000729",2622,"1","4"
"0003512","02","1","02","01","002000","01400","99","9","00","00","05","00","01","080","0000729",2622,"1","4"
"0003517","09","1","01","01","003000","01600","99","9","00","00","05","00","04","080","0000729",2622,"1","4"
"0003522","15","1","01","01","001000","00280","99","9","00","00","04","00","02","080","0000729",2622,"1","4"
"0003523","16","1","01","01","002000","00312","99","9","00","00","04","00","02","080","0000729",2622,"1","4"
"0003558","04","1","02","01","999999","00600","05","0","00","00","04","00","03","080","0000732",3348,"1","4"
"0003559","05","1","02","01","000800","01600","99","9","00","00","04","00","01","080","0000732",3348,"1","4"
"0003611","19","1","02","01","001300","00880","04","0","00","00","04","00","02","080","0000734",3578,"1","4"
"0003615","03","1","01","01","001500","00478","99","9","03","00","06","00","03","080","0000735",2846,"1","4"
"0003619","07","1","02","01","005000","00670","15","0","00","00","04","00","02","080","0000735",2846,"1","4"
"0003620","08","1","01","01","002100","01400","15","0","00","00","06","00","02","080","0000735",2846,"1","4"
"0003702","01","1","02","01","001600","00800","99","9","00","00","05","00","01","080","0000740",3534,"1","4"
"0003708","10","1","01","01","002000","02800","05","0","00","00","04","00","02","080","0000740",3534,"1","4"
"0003716","19","1","02","01","003249","01016","08","0","00","00","04","00","04","080","0000740",3534,"1","4"
"0003884","01","1","02","01","001500","01000","99","9","00","00","10","00","01","085","0000786",1787,"3","1"
"0003884","01","1","05","01","002000","01600","35","0","00","00","05","00","01","085","0000786",1787,"3","1"
"0003908","04","1","01","01","000001","04000","99","9","00","00","04","00","03","088","0000794",2355,"3","1"
"0004039","05","1","01","01","012000","01600","99","9","99","00","08","99","99","082","0000830",1904,"3","1"
"0004047","03","1","02","01","001000","04000","11","0","00","00","04","00","01","081","0000832",2900,"2","1"
"0004088","02","1","02","01","002850","03800","01","0","00","00","04","00","01","083","0000841",1384,"4","1"
"0004097","02","1","01","01","008400","01500","50","0","00","00","10","00","05","081","0000843",2853,"2","1"
"0004097","02","1","01","02","000900","01400","03","4","00","00","04","00","01","081","0000843",2853,"2","1"
"0004138","13","1","01","01","007000","01200","02","0","00","00","04","00","04","090","0000850",2172,"3","2"
"0004482","02","1","02","01","002000","04400","06","0","00","00","04","00","01","094","0000915",4639,"2","1"
"0004560","01","1","01","01","022000","00300","99","9","00","01","06","00","11","096","0000933",2708,"4","1"
"0004586","04","1","04","01","007000","01200","23","0","00","00","05","00","04","094","0000939",4618,"2","1"
"0004626","03","1","02","01","001600","00810","99","9","00","00","05","00","02","095","0000949",4618,"3","1"
"0004676","02","1","03","01","004000","00700","99","9","03","00","06","99","99","094","0000961",7452,"2","1"
"0004676","02","1","04","01","004000","02400","99","9","03","00","08","00","01","094","0000961",7452,"2","1"
"0004808","03","1","02","01","000780","00260","06","0","00","00","04","00","04","097","0000994",3897,"2","3"
"0004888","04","1","02","01","015000","03000","07","9","00","00","04","00","03","099","0001017",1366,"2","1"
"0004888","04","1","02","02","005000","02400","07","9","00","00","04","00","03","099","0001017",1366,"2","1"
"0004915","01","1","03","01","010000","01700","05","0","00","00","04","00","03","100","0001025",961,"3","1"
