"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0004939","05","1","02","01","1","02000","99","9","000800","00","100","0001032",1017,"3","1"
"0004942","01","1","01","01","1","00500","99","9","000500","00","100","0001034",1288,"3","1"
"0004943","04","1","02","01","3","00300","99","9","000700","01","100","0001034",1288,"3","1"
"0004948","05","1","01","01","2","00500","99","9","012000","00","101","0001035",492,"4","1"
"0004951","05","1","01","01","3","01000","99","9","006000","00","099","0001036",1294,"2","1"
"0004953","02","1","01","01","3","00200","99","9","001600","00","101","0001037",467,"4","1"
"0004954","03","1","01","01","1","00600","60","0","002471","00","101","0001037",467,"4","1"
"0004955","04","1","03","01","2","01200","99","9","008200","00","101","0001037",467,"4","1"
"0004955","04","1","03","02","1","00950","99","9","001500","00","101","0001037",467,"4","1"
"0004958","02","1","01","01","3","02200","60","0","004000","00","101","0001038",433,"4","1"
"0004959","05","1","02","01","3","00800","99","9","003000","01","101","0001038",433,"4","1"
"0004959","05","1","02","02","2","00600","99","9","003500","00","101","0001038",433,"4","1"
"0004961","02","1","01","01","6","00500","99","9","001800","00","099","0001039",2088,"2","1"
"0004964","01","1","01","01","2","00000","99","9","010000","02","101","0001040",460,"4","1"
"0004965","03","1","02","01","1","00900","99","9","016000","01","101","0001040",460,"4","1"
"0004965","03","1","02","02","3","00100","99","9","000480","00","101","0001040",460,"4","1"
"0004967","05","1","01","01","1","01800","99","9","008000","00","101","0001040",460,"4","1"
"0004967","05","1","01","02","2","01000","99","9","006000","00","101","0001040",460,"4","1"
"0004970","05","1","02","01","3","00300","99","9","000700","00","100","0001041",1109,"3","1"
"0004972","02","1","02","01","2","00300","99","9","002000","00","100","0001042",1101,"3","1"
"0004972","02","1","02","02","1","00730","99","9","001300","00","100","0001042",1101,"3","1"
"0004972","02","1","02","03","3","00200","99","9","000600","00","100","0001042",1101,"3","1"
"0004975","05","1","02","01","2","00700","99","9","003700","00","100","0001043",1132,"3","1"
"0004978","02","1","01","01","3","01600","99","9","009700","00","099","0001045",2012,"1","1"
"0004980","05","1","04","01","3","00000","99","9","001200","04","099","0001045",2012,"1","1"
"0004987","05","1","02","01","3","00800","99","9","003000","03","099","0001047",1512,"2","1"
"0004988","01","1","03","01","2","00000","99","9","015000","03","100","0001048",1284,"3","1"
"0004988","01","1","03","02","5","00000","99","9","003000","03","100","0001048",1284,"3","1"
"0004993","03","1","02","01","2","00100","99","9","000000","00","100","0001049",1049,"3","1"
"0004998","05","1","01","01","2","00000","99","9","008000","12","101","0001051",453,"4","1"
"0004999","01","1","01","01","1","00700","01","9","002500","00","101","0001052",545,"4","1"
"0005006","05","1","01","01","1","05000","99","9","045000","00","101","0001055",486,"4","1"
"0005009","02","1","01","01","9","03000","99","9","007000","00","101","0001057",481,"4","1"
"0005010","03","1","01","01","2","00560","99","9","002000","00","101","0001057",481,"4","1"
"0005012","05","1","02","01","5","00300","99","9","000800","00","101","0001057",481,"4","1"
"0005014","03","1","01","01","3","00250","99","9","001119","00","101","0001058",574,"4","1"
"0005014","03","1","01","02","5","00500","99","9","001943","00","101","0001058",574,"4","1"
"0005014","03","1","02","01","2","00670","99","9","015000","00","101","0001058",574,"4","1"
"0005014","03","1","02","02","3","00000","99","9","010000","05","101","0001058",574,"4","1"
"0005014","03","1","02","03","1","00900","99","9","000900","01","101","0001058",574,"4","1"
"0005015","04","1","01","01","9","01000","40","0","003200","00","101","0001058",574,"4","1"
"0005016","05","1","01","01","2","00600","99","9","000500","00","101","0001058",574,"4","1"
"0005017","01","1","01","01","7","00000","99","9","001200","00","099","0001059",1691,"2","1"
"0005017","01","1","01","02","3","00000","99","9","055000","12","099","0001059",1691,"2","1"
"0005020","02","1","02","01","2","01600","99","9","005000","00","101","0001060",644,"4","1"
"0005024","01","1","01","01","7","00350","99","9","005200","01","099","0001061",2432,"2","1"
"0005026","04","1","01","01","3","00500","99","9","001200","01","099","0001061",2432,"2","1"
"0005032","03","1","02","01","7","00650","99","9","007000","00","103","0001063",1325,"3","1"
"0005032","03","1","03","01","5","00140","99","9","000300","00","103","0001063",1325,"3","1"
"0005034","04","1","02","01","3","00600","28","0","001600","00","103","0001064",1382,"3","1"
"0005036","02","1","02","01","7","01500","99","9","004000","00","103","0001065",1213,"3","1"
"0005036","02","1","02","02","1","00600","99","9","001200","00","103","0001065",1213,"3","1"
"0005038","01","1","01","01","7","01216","99","9","022000","00","102","0001067",1559,"2","1"
"0005047","04","1","01","01","7","00250","85","0","000800","00","102","0001070",1509,"2","1"
"0005050","05","1","02","01","7","03000","19","0","015000","00","104","0001071",401,"4","1"
"0005051","02","1","01","01","3","00000","99","9","000000","00","102","0001072",1535,"2","1"
"0005052","03","1","01","01","3","00150","99","9","001100","02","102","0001072",1535,"2","1"
"0005055","01","1","01","01","3","03500","04","8","011000","00","103","0001073",1364,"3","1"
"0005056","02","1","01","01","3","00250","99","9","000900","00","103","0001073",1364,"3","1"
"0005058","04","1","01","01","3","00565","99","9","003000","00","103","0001073",1364,"3","1"
"0005062","05","1","01","01","7","00300","99","9","001000","00","104","0001074",324,"4","1"
"0005062","05","1","02","01","3","00800","02","0","002000","00","104","0001074",324,"4","1"
"0005065","02","1","01","01","7","00100","99","9","000800","00","102","0001076",1482,"2","1"
"0005065","02","1","01","02","2","00000","99","9","000000","00","102","0001076",1482,"2","1"
"0005065","02","1","07","01","3","00500","99","9","004000","00","102","0001076",1482,"2","1"
"0005066","03","1","02","01","7","01500","05","0","011000","00","102","0001076",1482,"2","1"
"0005066","03","1","03","01","3","01600","40","0","019000","00","102","0001076",1482,"2","1"
"0005066","03","1","03","02","7","00600","38","0","004000","00","102","0001076",1482,"2","1"
"0005066","03","1","04","01","3","00102","99","9","000614","00","102","0001076",1482,"2","1"
"0005068","05","1","02","01","3","00000","99","9","017000","12","102","0001076",1482,"2","1"
"0005069","02","1","02","01","3","01000","99","9","007000","02","103","0001077",1504,"3","1"
"0005071","04","1","01","01","7","00600","99","9","007000","00","103","0001077",1504,"3","1"
"0005071","04","1","01","02","2","00760","99","9","002000","00","103","0001077",1504,"3","1"
"0005071","04","1","01","03","1","00000","99","9","001000","00","103","0001077",1504,"3","1"
"0005075","05","1","02","01","3","00350","99","9","001500","00","103","0001078",1473,"3","1"
"0005075","05","1","03","01","3","01600","99","9","001300","00","103","0001078",1473,"3","1"
"0005077","03","1","01","01","3","00300","99","9","004000","02","103","0001079",1324,"3","1"
"0005077","03","1","02","01","3","01800","99","9","016000","00","103","0001079",1324,"3","1"
"0005077","03","1","02","02","2","00500","99","9","009000","00","103","0001079",1324,"3","1"
"0005077","03","1","02","03","5","00900","99","9","001300","00","103","0001079",1324,"3","1"
"0005080","01","1","01","01","1","02000","99","9","006000","00","103","0001080",1412,"3","1"
"0005080","01","1","03","01","1","00800","32","0","003000","00","103","0001080",1412,"3","1"
"0005082","03","1","01","01","7","01600","99","9","018000","00","103","0001080",1412,"3","1"
"0005082","03","1","01","02","3","00320","05","0","001000","00","103","0001080",1412,"3","1"
"0005084","01","1","01","01","3","00500","99","9","001500","00","104","0001081",351,"4","1"
"0005085","03","1","01","01","7","00200","99","9","000700","00","104","0001081",351,"4","1"
"0005085","03","1","02","01","7","00500","99","9","002000","00","104","0001081",351,"4","1"
"0005087","01","1","01","01","9","00600","99","9","003600","00","104","0001082",344,"4","1"
"0005087","01","1","03","01","7","01800","99","9","004000","01","104","0001082",344,"4","1"
"0005088","02","1","01","01","1","01800","99","9","010000","00","104","0001082",344,"4","1"
"0005088","02","1","01","02","7","00500","99","9","001000","00","104","0001082",344,"4","1"
"0005090","02","1","02","01","3","00000","05","0","001800","12","104","0001083",364,"4","1"
"0005097","05","1","02","01","7","00500","99","9","002500","01","103","0001086",1284,"3","1"
"0005100","04","1","01","01","7","00099","99","9","003500","00","102","0001087",1479,"2","1"
"0005101","05","1","01","01","7","01144","99","9","025000","00","102","0001087",1479,"2","1"
"0005102","01","1","02","01","3","00000","99","9","001500","06","104","0001088",377,"4","1"
"0005106","05","1","02","01","3","02000","99","9","002300","00","104","0001088",377,"4","1"
"0005111","04","1","02","01","7","04300","99","9","030000","00","104","0001090",395,"4","1"
"0005111","04","1","02","02","2","02400","99","9","021000","00","104","0001090",395,"4","1"
"0005111","04","1","02","03","1","00900","99","9","002300","00","104","0001090",395,"4","1"
"0005112","01","1","03","01","3","00550","99","9","005000","00","105","0001091",2859,"2","2"
"0005112","01","1","03","02","2","00270","99","9","001700","00","105","0001091",2859,"2","2"
"0005115","04","1","01","01","3","02000","05","0","010000","00","105","0001091",2859,"2","2"
"0005119","02","1","01","01","3","00900","99","9","003000","00","105","0001093",2486,"2","2"
"0005121","04","1","01","01","3","00050","99","9","001000","00","105","0001093",2486,"2","2"
"0005122","05","1","02","01","7","00352","99","9","001600","00","105","0001093",2486,"2","2"
"0005122","05","1","02","02","1","00000","99","9","000000","00","105","0001093",2486,"2","2"
"0005133","11","1","01","01","7","01120","99","9","013000","01","106","0001096",1594,"2","2"
"0005138","16","1","03","01","1","02000","99","9","010000","00","106","0001096",1594,"2","2"
"0005148","09","1","01","01","7","02400","60","0","999888","00","106","0001097",1245,"2","3"
"0005148","09","1","01","02","1","01400","60","0","999888","00","106","0001097",1245,"2","3"
"0005148","09","1","02","01","3","00000","99","9","001000","02","106","0001097",1245,"2","3"
"0005148","09","1","03","01","3","00500","99","9","001200","00","106","0001097",1245,"2","3"
"0005150","11","1","03","01","3","00240","03","0","000700","00","106","0001097",1245,"2","3"
"0005150","11","1","04","01","3","00120","10","0","001000","99","106","0001097",1245,"2","3"
"0005151","13","1","01","01","3","00200","99","9","000475","00","106","0001097",1245,"2","3"
"0005164","08","1","03","01","3","00080","99","9","000480","00","106","0001098",1314,"2","3"
"0005166","10","1","03","01","3","00000","99","9","002200","00","106","0001098",1314,"2","3"
"0005167","11","1","01","01","3","01100","99","9","004600","02","106","0001098",1314,"2","3"
"0005171","16","1","02","01","3","00000","99","9","075000","12","106","0001098",1314,"2","3"
"0005171","16","1","02","02","7","01200","99","9","030000","00","106","0001098",1314,"2","3"
"0005173","18","1","02","01","3","00500","99","9","003700","00","106","0001098",1314,"2","3"
"0005174","19","1","01","01","3","00300","10","0","001600","02","106","0001098",1314,"2","3"
"0005178","04","1","01","01","3","08700","99","9","008700","00","106","0001099",1264,"2","3"
"0005182","11","1","03","01","3","00405","99","9","999999","00","106","0001099",1264,"2","3"
"0005184","15","1","01","01","3","03000","99","9","007000","00","106","0001099",1264,"2","3"
"0005186","18","1","01","01","3","00000","99","9","003000","06","106","0001099",1264,"2","3"
"0005188","20","1","03","01","3","00220","99","9","003000","00","106","0001099",1264,"2","3"
"0005193","09","1","01","01","2","00900","99","9","000900","00","108","0001100",1549,"2","4"
"0005196","13","1","03","01","3","00500","99","9","002000","02","108","0001100",1549,"2","4"
"0005198","16","1","01","01","7","01720","99","9","999999","00","108","0001100",1549,"2","4"
"0005212","10","1","01","01","7","01100","99","9","020000","01","107","0001101",1321,"1","4"
"0005213","11","1","01","01","3","00300","99","9","001900","00","107","0001101",1321,"1","4"
"0005213","11","1","02","01","3","01500","99","9","999999","01","107","0001101",1321,"1","4"
"0005214","12","1","01","01","3","01200","99","9","007200","00","107","0001101",1321,"1","4"
"0005218","17","1","01","01","3","99999","99","9","001000","03","107","0001101",1321,"1","4"
"0005218","17","1","02","01","3","05000","99","9","014000","06","107","0001101",1321,"1","4"
"0005218","17","1","07","01","3","05000","99","9","999999","04","107","0001101",1321,"1","4"
"0005221","01","1","02","01","3","00000","99","9","001800","02","107","0001102",1459,"1","4"
"0005229","15","1","01","01","3","00000","99","9","000670","02","107","0001102",1459,"1","4"
"0005231","19","1","01","01","7","00114","99","9","000500","00","107","0001102",1459,"1","4"
"0005232","20","1","01","01","3","00300","99","9","002600","00","107","0001102",1459,"1","4"
"0005232","20","1","02","01","3","00050","99","9","000200","00","107","0001102",1459,"1","4"
"0005236","05","1","01","01","3","00200","99","9","999999","02","108","0001103",1288,"2","4"
"0005257","08","1","01","01","3","00250","99","9","001300","00","108","0001104",1144,"2","4"
"0005258","09","1","01","01","3","00000","99","9","005000","10","108","0001104",1144,"2","4"
"0005261","12","1","03","01","7","01064","99","9","009000","00","108","0001104",1144,"2","4"
"0005271","13","1","03","01","3","00500","99","9","002000","01","107","0001105",1495,"1","4"
"0005276","19","1","01","01","3","00340","10","0","000340","00","107","0001105",1495,"1","4"
"0005284","09","1","02","01","3","04800","99","9","003800","05","108","0001106",929,"2","4"
"0005298","10","1","02","01","3","00000","99","9","001300","03","108","0001107",1191,"2","4"
"0005302","16","1","01","01","3","00500","99","9","000570","00","108","0001107",1191,"2","4"
"0005305","01","1","01","01","3","00718","99","9","008000","00","117","0001108",2637,"3","1"
"0005311","04","1","02","01","1","00400","09","9","022000","00","118","0001110",1316,"4","1"
"0005311","04","1","02","02","2","00950","99","9","011000","00","118","0001110",1316,"4","1"
"0005311","04","1","02","03","3","00700","99","9","035000","00","118","0001110",1316,"4","1"
"0005312","01","1","02","01","3","00400","99","9","002100","00","117","0001111",2587,"3","1"
"0005314","04","1","02","01","1","00600","09","9","002600","00","117","0001111",2587,"3","1"
"0005314","04","1","02","02","3","00400","09","9","001800","00","117","0001111",2587,"3","1"
"0005314","04","1","04","01","3","01000","99","9","001020","00","117","0001111",2587,"3","1"
"0005314","04","1","04","02","5","00800","99","9","000800","00","117","0001111",2587,"3","1"
"0005317","02","1","01","01","3","00500","99","9","007000","00","117","0001112",2470,"3","1"
"0005318","04","1","01","01","7","00800","03","0","004000","00","117","0001112",2470,"3","1"
"0005321","02","2","02","01","7","00800","99","9","999999","00","116","0001113",4251,"2","1"
"0005321","02","2","02","02","9","00800","99","9","010000","00","116","0001113",4251,"2","1"
"0005323","04","1","02","01","3","01400","99","9","017000","00","116","0001113",4251,"2","1"
"0005325","05","1","01","01","1","00400","99","9","001500","00","118","0001114",1343,"4","1"
"0005328","05","1","02","01","3","01000","99","9","005000","00","116","0001115",3695,"2","1"
"0005328","05","2","02","01","7","00000","99","9","003000","02","116","0001115",3695,"2","1"
"0005333","03","1","02","01","2","01600","05","0","010000","00","118","0001117",1161,"4","1"
"0005333","03","1","03","01","5","00200","99","9","000830","00","118","0001117",1161,"4","1"
"0005334","04","1","02","01","3","00300","99","9","004700","06","118","0001117",1161,"4","1"
"0005335","05","1","01","01","3","04000","99","9","008000","00","118","0001117",1161,"4","1"
"0005335","05","1","01","02","1","00750","99","9","008000","00","118","0001117",1161,"4","1"
"0005335","05","1","01","03","7","00000","99","9","000000","00","118","0001117",1161,"4","1"
"0005342","03","1","02","01","3","00400","30","0","001000","00","118","0001119",1192,"4","1"
"0005343","04","1","02","01","3","02000","99","9","005000","02","118","0001119",1192,"4","1"
"0005347","05","1","01","01","3","01500","99","9","014000","03","118","0001120",1417,"4","1"
"0005347","05","1","02","01","3","00103","99","9","000822","00","118","0001120",1417,"4","1"
"0005358","01","1","02","01","3","00340","12","0","000860","00","115","0001124",831,"4","1"
"0005358","01","1","03","01","1","00200","99","9","002000","00","115","0001124",831,"4","1"
"0005359","04","1","02","01","1","00900","52","0","009700","00","115","0001124",831,"4","1"
"0005359","04","1","02","02","2","01100","54","0","012000","00","115","0001124",831,"4","1"
"0005360","05","1","01","01","1","02000","99","9","009000","00","115","0001124",831,"4","1"
"0005362","03","1","02","01","2","00000","99","9","000000","00","114","0001125",4283,"3","1"
"0005366","02","1","02","01","3","02000","15","0","004000","00","115","0001126",1002,"4","1"
"0005367","03","1","02","01","2","02010","99","9","999999","02","115","0001126",1002,"4","1"
"0005367","03","1","02","02","5","00000","99","9","000000","00","115","0001126",1002,"4","1"
"0005371","01","1","01","01","7","00600","10","0","008000","02","115","0001128",948,"4","1"
"0005371","01","1","02","01","7","00200","12","0","001200","00","115","0001128",948,"4","1"
"0005372","03","1","02","01","3","00000","99","9","000800","01","115","0001128",948,"4","1"
"0005372","03","1","02","02","5","00480","99","9","000483","00","115","0001128",948,"4","1"
"0005373","04","1","02","01","3","01100","99","9","003000","00","115","0001128",948,"4","1"
"0005373","04","1","02","02","1","01000","99","9","010000","00","115","0001128",948,"4","1"
"0005377","04","1","01","01","2","01800","99","9","006800","00","113","0001129",3515,"2","1"
"0005378","05","2","02","01","3","01200","04","0","015000","01","113","0001129",3515,"2","1"
"0005380","04","1","02","01","3","00800","99","9","002500","00","114","0001130",2074,"3","1"
"0005380","04","1","03","01","3","00235","99","9","999999","00","114","0001130",2074,"3","1"
"0005381","05","1","01","01","1","00900","99","9","999999","00","114","0001130",2074,"3","1"
"0005381","05","1","01","02","2","01000","99","9","006000","00","114","0001130",2074,"3","1"
"0005381","05","1","01","03","7","00400","99","9","002000","00","114","0001130",2074,"3","1"
"0005381","05","1","02","01","2","03800","99","9","007000","02","114","0001130",2074,"3","1"
"0005386","02","1","01","01","3","00000","99","9","000000","00","113","0001132",4049,"2","1"
"0005387","03","1","02","01","3","01300","99","9","003000","01","113","0001132",4049,"2","1"
"0005388","04","1","03","01","7","00275","99","9","006000","00","113","0001132",4049,"2","1"
"0005394","04","1","01","01","2","00750","99","9","002000","00","110","0001134",2465,"3","1"
"0005404","02","1","01","01","1","01500","49","0","010000","00","111","0001137",1573,"4","1"
"0005406","01","1","03","01","3","00500","99","9","001600","00","109","0001138",2486,"2","1"
"0005413","01","1","02","01","3","00250","99","9","001400","00","110","0001140",2309,"3","1"
"0005417","01","1","02","01","1","00600","99","9","002000","00","111","0001142",1545,"4","1"
"0005418","04","1","02","01","1","02000","99","9","007000","00","111","0001142",1545,"4","1"
"0005422","02","1","03","01","3","00350","99","9","000800","02","109","0001144",2425,"2","1"
"0005422","02","1","04","01","5","00500","99","9","001000","00","109","0001144",2425,"2","1"
"0005425","05","1","01","01","3","00600","99","9","003000","04","109","0001144",2425,"2","1"
"0005428","01","1","02","01","1","00250","99","9","003000","00","110","0001146",2431,"3","1"
"0005428","01","1","02","02","2","00220","99","9","001700","00","110","0001146",2431,"3","1"
"0005428","01","1","02","03","5","00450","99","9","001000","00","110","0001146",2431,"3","1"
"0005428","01","1","02","04","9","05000","99","9","000000","00","110","0001146",2431,"3","1"
"0005428","01","1","02","05","9","02000","99","9","003000","00","110","0001146",2431,"3","1"
"0005430","04","1","02","01","1","00122","99","9","001022","00","110","0001146",2431,"3","1"
"0005433","02","1","03","01","3","00800","99","9","005000","00","111","0001147",1536,"4","1"
"0005435","04","1","01","01","1","00700","50","0","003000","00","111","0001147",1536,"4","1"
"0005435","04","1","01","02","5","00300","75","0","000700","00","111","0001147",1536,"4","1"
"0005435","04","1","02","01","1","00500","99","9","003000","00","111","0001147",1536,"4","1"
"0005437","04","1","02","01","1","00300","99","9","999999","00","111","0001148",1762,"4","1"
"0005437","04","1","03","01","1","00600","99","9","999999","00","111","0001148",1762,"4","1"
"0005437","04","1","03","02","3","00200","99","9","000800","00","111","0001148",1762,"4","1"
"0005439","02","1","03","01","1","06000","42","0","010000","00","111","0001149",2037,"4","1"
"0005443","04","1","01","01","9","00500","99","9","004000","00","109","0001150",2690,"2","1"
"0005443","04","1","02","01","3","00298","99","9","003700","03","109","0001150",2690,"2","1"
"0005444","05","1","02","01","3","00250","99","9","000500","00","109","0001150",2690,"2","1"
"0005445","01","1","01","01","1","10000","99","9","010000","00","110","0001151",2385,"3","1"
"0005445","01","1","01","02","2","06000","99","9","010000","00","110","0001151",2385,"3","1"
"0005446","03","1","02","01","9","00560","99","9","999999","03","110","0001151",2385,"3","1"
"0005449","03","1","01","01","3","01900","99","9","015000","00","110","0001152",2019,"3","1"
"0005450","01","1","03","01","3","00000","99","9","005000","05","110","0001153",2342,"3","1"
"0005450","01","1","05","01","5","00350","99","9","000800","00","110","0001153",2342,"3","1"
"0005451","02","1","01","01","1","00050","36","5","000399","00","110","0001153",2342,"3","1"
"0005456","03","1","01","01","7","01000","03","0","024000","00","110","0001154",2565,"3","1"
"0005457","04","1","01","01","1","00800","99","9","004000","00","110","0001154",2565,"3","1"
"0005461","04","1","02","01","3","00000","01","3","008000","09","109","0001155",3025,"2","1"
"0005461","04","1","03","01","3","00200","99","9","004700","00","109","0001155",3025,"2","1"
"0005462","05","1","01","01","3","00400","99","9","002800","00","109","0001155",3025,"2","1"
"0005463","01","1","02","01","3","00000","99","9","008000","03","109","0001156",1872,"2","1"
"0005469","02","1","02","01","3","00600","99","9","008000","06","109","0001157",2894,"2","1"
"0005470","03","1","01","01","7","00000","16","4","020000","00","109","0001157",2894,"2","1"
"0005470","03","1","02","01","3","01000","99","9","005000","02","109","0001157",2894,"2","1"
"0005474","02","1","01","01","3","00205","99","9","000300","00","109","0001158",2186,"2","1"
"0005477","05","1","06","01","3","00000","99","9","002500","01","109","0001158",2186,"2","1"
"0005477","05","1","08","01","7","01050","99","9","025000","00","109","0001158",2186,"2","1"
"0005481","05","1","01","01","1","00680","99","9","003600","00","110","0001159",2496,"3","1"
"0005483","02","1","02","01","3","01000","99","9","002500","02","110","0001160",2292,"3","1"
"0005489","01","2","01","01","1","01053","50","0","007300","00","111","0001162",1630,"4","1"
"0005490","03","1","01","01","1","00400","99","9","002000","01","111","0001162",1630,"4","1"
"0005491","04","1","01","01","1","01000","99","9","005000","03","111","0001162",1630,"4","1"
"0005491","04","1","01","02","7","00000","99","9","003000","03","111","0001162",1630,"4","1"
"0005491","04","1","02","01","3","01000","55","0","005000","00","111","0001162",1630,"4","1"
"0005497","03","2","01","01","2","00500","99","9","002000","00","110","0001164",2562,"3","1"
"0005497","03","2","01","02","6","00800","99","9","001500","00","110","0001164",2562,"3","1"
"0005500","03","1","01","01","3","00450","99","9","003200","00","111","0001165",1906,"4","1"
"0005502","01","1","02","01","3","00250","99","9","001400","00","110","0001166",2598,"3","1"
"0005505","05","1","01","01","3","00000","99","9","000700","05","110","0001166",2598,"3","1"
"0005506","02","1","02","01","3","01600","99","9","003000","00","111","0001167",1489,"4","1"
"0005509","01","1","02","01","3","00500","99","9","002000","00","110","0001168",2276,"3","1"
"0005511","03","1","02","01","3","00150","99","9","999999","00","110","0001168",2276,"3","1"
"0005521","05","1","01","01","3","01000","99","9","010000","01","109","0001172",2666,"2","1"
"0005523","04","1","02","01","1","02000","56","0","004000","00","111","0001173",1940,"4","1"
"0005523","04","1","02","02","2","03500","49","7","009000","00","111","0001173",1940,"4","1"
"0005524","05","1","02","01","4","02000","99","9","000300","00","111","0001173",1940,"4","1"
"0005525","01","1","01","01","1","03000","04","5","014000","00","111","0001174",1778,"4","1"
"0005525","01","1","02","01","1","03000","04","5","022000","00","111","0001174",1778,"4","1"
"0005529","03","1","01","01","1","06000","99","9","038000","00","111","0001175",2372,"4","1"
"0005529","03","2","02","01","1","03000","99","9","001500","00","111","0001175",2372,"4","1"
"0005529","03","2","02","02","2","03000","99","9","001500","00","111","0001175",2372,"4","1"
"0005531","02","1","04","01","7","00700","99","9","007000","00","109","0001176",3611,"1","1"
"0005531","02","1","04","02","3","00300","99","9","002500","00","109","0001176",3611,"1","1"
"0005531","02","1","04","03","7","00480","99","9","001500","00","109","0001176",3611,"1","1"
"0005532","03","1","01","01","3","00000","99","9","001700","01","109","0001176",3611,"1","1"
"0005533","04","1","03","01","7","00800","04","5","002000","00","109","0001176",3611,"1","1"
"0005535","01","1","02","01","3","00100","99","9","000100","00","109","0001177",2525,"2","1"
"0005539","02","1","02","01","3","00750","99","9","008000","00","109","0001178",2685,"2","1"
"0005540","03","1","02","01","7","00300","99","9","999999","02","109","0001178",2685,"2","1"
"0005540","03","1","02","02","3","00000","99","9","000800","00","109","0001178",2685,"2","1"
"0005540","03","1","03","01","7","00200","99","9","003270","02","109","0001178",2685,"2","1"
"0005542","05","1","02","01","3","01000","20","0","004000","00","109","0001178",2685,"2","1"
"0005543","01","1","01","01","1","05000","99","9","030000","00","119","0001179",2028,"3","1"
"0005551","05","1","01","01","3","00360","99","9","003980","00","120","0001180",1075,"4","1"
"0005552","01","2","03","01","3","00700","99","9","004500","00","119","0001181",2556,"3","1"
"0005553","02","1","01","01","7","00330","99","9","000900","00","119","0001181",2556,"3","1"
"0005553","02","1","01","02","1","00500","99","9","001200","01","119","0001181",2556,"3","1"
"0005556","05","1","01","01","1","99999","09","9","999999","99","119","0001181",2556,"3","1"
"0005561","05","1","01","01","1","00000","99","9","002300","02","119","0001182",2731,"2","1"
"0005566","01","1","01","01","3","00160","99","9","000500","00","123","0001184",3010,"3","2"
"0005577","17","1","01","01","1","00250","99","9","001000","00","123","0001184",3010,"3","2"
"0005583","06","1","01","01","3","00000","99","9","000400","02","122","0001185",4494,"2","2"
"0005595","04","1","01","01","2","04000","99","9","018000","02","122","0001186",4801,"3","2"
"0005595","04","1","01","02","1","00300","99","9","002500","00","122","0001186",4801,"3","2"
"0005599","10","1","05","01","3","00500","99","9","001000","00","122","0001186",4801,"3","2"
"0005599","10","1","05","02","7","00670","99","9","004000","00","122","0001186",4801,"3","2"
"0005602","14","1","01","01","1","01000","99","9","001000","00","122","0001186",4801,"3","2"
"0005603","15","1","01","01","3","00450","99","9","001500","00","122","0001186",4801,"3","2"
"0005606","18","1","02","01","3","01000","99","9","006000","00","122","0001186",4801,"3","2"
"0005608","20","1","02","01","3","01000","99","9","040000","00","122","0001186",4801,"3","2"
"0005618","02","1","02","01","3","04400","99","9","015000","00","121","0001189",3489,"2","2"
"0005618","02","1","02","02","7","00000","99","9","000300","00","121","0001189",3489,"2","2"
"0005618","02","1","04","01","3","01000","99","9","004000","02","121","0001189",3489,"2","2"
"0005619","03","1","02","01","3","00500","99","9","003000","01","121","0001189",3489,"2","2"
"0005622","01","1","02","01","3","00000","99","9","004000","06","123","0001190",3257,"2","2"
"0005623","02","1","02","01","3","00300","99","9","002400","00","123","0001190",3257,"2","2"
"0005625","04","1","02","01","3","00200","99","9","000700","00","123","0001190",3257,"2","2"
"0005628","08","1","01","01","3","00600","99","9","004000","00","123","0001190",3257,"2","2"
"0005629","10","1","02","01","7","00600","99","9","006200","02","123","0001190",3257,"2","2"
"0005629","10","1","02","02","3","00200","99","9","001600","00","123","0001190",3257,"2","2"
"0005638","20","1","01","01","3","00125","99","9","000800","00","123","0001190",3257,"2","2"
"0005640","03","1","01","01","7","00400","99","9","005000","00","112","0001191",3818,"2","2"
"0005646","04","1","01","01","1","04500","99","9","032000","00","112","0001192",3041,"2","2"
"0005646","04","1","01","02","1","01200","99","9","012000","00","112","0001192",3041,"2","2"
"0005650","05","1","01","01","1","00250","99","9","001300","01","112","0001193",3579,"3","2"
"0005654","04","1","03","01","3","00290","99","9","001700","00","123","0001194",3075,"2","2"
"0005658","10","1","01","01","3","00840","18","0","003000","00","123","0001194",3075,"2","2"
"0005658","10","1","03","01","3","00140","99","9","000600","00","123","0001194",3075,"2","2"
"0005660","12","1","02","01","3","00000","99","9","002000","00","123","0001194",3075,"2","2"
"0005668","20","1","02","01","3","00500","06","6","006550","00","123","0001194",3075,"2","2"
"0005671","03","1","01","01","3","00200","05","0","000900","00","124","0001195",6103,"2","3"
"0005674","06","1","02","01","2","02000","99","9","009000","00","124","0001195",6103,"2","3"
"0005677","09","1","02","01","3","00400","40","0","001200","00","124","0001195",6103,"2","3"
"0005678","10","1","02","01","3","00150","40","0","000500","06","124","0001195",6103,"2","3"
"0005680","12","1","01","01","3","00500","99","9","001500","00","124","0001195",6103,"2","3"
"0005682","14","1","02","01","3","01200","99","9","006700","00","124","0001195",6103,"2","3"
"0005684","16","1","01","01","7","02000","10","0","029000","00","124","0001195",6103,"2","3"
"0005691","06","1","01","01","1","04000","52","0","013000","00","124","0001196",3227,"2","3"
"0005708","04","1","02","01","3","00400","99","9","005000","00","126","0001198",4738,"2","4"
