"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000236","05","1","01","01","1","01000","99","9","002000","00","002","0000066",699,"3","1"
"0000240","04","1","02","01","3","01000","99","9","010000","01","002","0000067",642,"3","1"
"0000258","02","1","03","01","1","00300","99","9","000300","00","003","0000072",421,"4","1"
"0000269","04","1","01","01","3","02000","99","9","003200","00","002","0000075",669,"3","1"
"0000272","04","1","02","01","7","99888","99","9","000000","00","003","0000076",403,"4","1"
"0000272","04","1","02","02","1","01800","99","9","005000","02","003","0000076",403,"4","1"
"0000275","02","1","02","01","3","00600","99","9","000600","01","003","0000077",397,"4","1"
"0000278","02","1","01","01","1","00630","99","9","004000","00","003","0000078",385,"4","1"
"0000278","02","1","02","01","1","01000","99","9","004000","00","003","0000078",385,"4","1"
"0000279","03","1","01","01","7","00930","48","0","009000","00","003","0000078",385,"4","1"
"0000280","01","1","02","01","1","03500","99","9","006000","00","003","0000079",381,"4","1"
"0000282","04","1","02","01","2","00800","99","9","007000","00","003","0000079",381,"4","1"
"0000287","05","1","01","01","1","00800","99","9","999999","00","003","0000080",471,"4","1"
"0000287","05","1","02","01","1","02000","56","0","005000","00","003","0000080",471,"4","1"
"0000290","05","1","01","01","1","01000","99","9","006000","00","003","0000081",389,"4","1"
"0000296","01","1","04","01","1","01000","99","9","004000","00","003","0000083",390,"4","1"
"0000298","03","1","01","01","7","00500","99","9","003500","00","003","0000083",390,"4","1"
"0000299","04","1","02","01","7","00250","99","9","001500","00","003","0000083",390,"4","1"
"0000301","01","1","01","01","3","00500","99","9","999999","00","001","0000084",933,"2","1"
"0000306","04","1","02","01","3","00800","99","9","002200","03","003","0000085",389,"4","1"
"0000307","01","1","01","01","3","00550","99","9","008000","02","003","0000086",412,"4","1"
"0000309","04","1","01","01","9","02000","26","3","006000","00","003","0000086",412,"4","1"
"0000316","04","1","02","01","1","01100","99","9","001100","00","003","0000088",408,"4","1"
"0000318","03","1","01","01","7","00300","99","9","001200","00","003","0000089",421,"4","1"
"0000323","03","1","01","01","7","10640","01","8","082000","07","003","0000091",425,"4","1"
"0000325","01","1","01","01","3","00150","99","9","001000","00","001","0000092",954,"2","1"
"0000327","03","1","01","01","1","02000","99","9","001500","00","001","0000092",954,"2","1"
"0000327","03","1","02","01","3","01700","99","9","000500","00","001","0000092",954,"2","1"
"0000329","05","1","01","01","3","00170","99","9","001200","00","001","0000092",954,"2","1"
"0000337","05","1","01","01","7","02000","99","9","999999","00","003","0000094",468,"4","1"
"0000339","03","1","01","01","1","04700","99","9","025000","00","003","0000095",429,"4","1"
"0000339","03","1","01","02","4","00300","99","9","001000","00","003","0000095",429,"4","1"
"0000343","02","1","01","01","1","02800","99","9","023000","00","003","0000096",465,"4","1"
"0000343","02","1","01","02","2","02000","99","9","015000","00","003","0000096",465,"4","1"
"0000346","05","1","01","01","7","00300","04","0","002800","00","003","0000096",465,"4","1"
"0000346","05","1","02","01","3","02000","05","0","006000","00","003","0000096",465,"4","1"
"0000349","03","1","02","01","1","17000","99","9","012000","00","003","0000097",396,"4","1"
"0000352","01","1","02","01","7","01000","99","9","010000","00","003","0000098",432,"4","1"
"0000353","03","1","01","01","3","03000","08","7","050000","00","003","0000098",432,"4","1"
"0000355","02","1","02","01","3","00500","99","9","002500","00","001","0000099",1126,"2","1"
"0000370","04","1","02","01","3","00400","99","9","000400","01","001","0000102",1026,"2","1"
"0000379","09","1","02","01","3","00400","99","9","000400","00","006","0000103",576,"2","2"
"0000385","18","1","02","01","3","05000","99","9","070000","01","006","0000103",576,"2","2"
"0000388","01","1","01","01","7","01100","99","9","999999","01","004","0000104",1265,"2","2"
"0000389","03","1","01","01","3","00350","99","0","999999","00","004","0000104",1265,"2","2"
"0000391","02","1","01","01","1","00700","50","0","005000","00","004","0000105",1248,"2","2"
"0000392","03","1","01","01","3","00500","99","9","004300","02","004","0000105",1248,"2","2"
"0000396","05","1","01","01","1","08000","40","0","020000","00","005","0000106",1928,"3","2"
"0000406","13","1","03","01","3","00800","99","9","010000","02","006","0000107",547,"2","2"
"0000409","17","1","04","01","3","00000","99","9","003600","02","006","0000107",547,"2","2"
"0000409","17","1","04","02","7","00424","99","9","003000","02","006","0000107",547,"2","2"
"0000411","19","1","01","01","3","99999","99","9","008000","00","006","0000107",547,"2","2"
"0000412","20","1","02","01","3","02000","99","9","005500","03","006","0000107",547,"2","2"
"0000415","03","1","02","01","5","00280","99","9","000800","00","006","0000108",521,"3","2"
"0000418","06","1","03","01","1","00600","99","9","003000","00","006","0000108",521,"3","2"
"0000421","11","1","06","01","3","00900","99","9","011000","00","006","0000108",521,"3","2"
"0000426","17","1","03","01","3","00175","99","9","001300","00","006","0000108",521,"3","2"
"0000430","03","1","02","01","3","00750","99","9","004000","01","005","0000109",2224,"3","3"
"0000449","02","1","03","01","3","00130","99","9","000400","00","007","0000111",753,"2","4"
"0000459","12","1","02","01","3","00600","99","9","000600","00","007","0000111",753,"2","4"
"0000463","16","1","01","01","3","00000","99","9","000000","00","007","0000111",753,"2","4"
