"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000112","05","1","02","","02","002","0000030",711,"3","1"
"0000113","02","1","02","","02","002","0000031",717,"3","1"
"0000114","03","1","01","","01","002","0000031",717,"3","1"
"0000115","05","1","02","","02","002","0000031",717,"3","1"
"0000116","03","1","02","","02","002","0000032",602,"3","1"
"0000117","04","1","01","","01","002","0000032",602,"3","1"
"0000118","05","1","02","","02","002","0000032",602,"3","1"
"0000119","01","1","01","","01","002","0000033",610,"3","1"
"0000120","02","1","01","","01","002","0000033",610,"3","1"
"0000121","03","1","02","","03","002","0000033",610,"3","1"
"0000122","04","1","02","","02","002","0000033",610,"3","1"
"0000123","01","1","01","","01","003","0000034",396,"4","1"
"0000124","02","1","01","","01","003","0000034",396,"4","1"
"0000125","04","1","02","","01","003","0000034",396,"4","1"
"0000126","05","1","01","","01","003","0000034",396,"4","1"
"0000127","05","1","01","","01","002","0000035",746,"3","1"
"0000128","01","1","01","","01","003","0000036",387,"4","1"
"0000129","03","1","01","","01","003","0000036",387,"4","1"
"0000130","04","1","01","","01","003","0000036",387,"4","1"
"0000131","05","1","01","","01","003","0000036",387,"4","1"
"0000132","02","1","01","","01","003","0000037",399,"4","1"
"0000133","03","1","01","","01","003","0000037",399,"4","1"
"0000134","01","1","01","","01","002","0000038",719,"3","1"
"0000135","02","1","02","","02","002","0000038",719,"3","1"
"0000136","03","1","02","","01","002","0000038",719,"3","1"
"0000137","04","1","01","","01","002","0000038",719,"3","1"
"0000138","05","1","02","","02","002","0000038",719,"3","1"
"0000139","02","1","01","","01","002","0000039",667,"3","1"
"0000140","03","1","01","","01","002","0000039",667,"3","1"
"0000141","05","1","02","2","","002","0000039",667,"3","1"
"0000141","05","2","01","1","01","002","0000039",667,"3","1"
"0000142","01","1","02","1","01","002","0000040",692,"3","1"
"0000142","01","2","02","2","","002","0000040",692,"3","1"
"0000143","02","1","01","","01","002","0000040",692,"3","1"
"0000144","03","1","01","","01","002","0000040",692,"3","1"
"0000145","04","1","01","","01","002","0000040",692,"3","1"
"0000146","05","1","03","","03","002","0000040",692,"3","1"
"0000147","01","1","01","","01","003","0000041",411,"4","1"
"0000148","02","1","01","","02","003","0000041",411,"4","1"
"0000149","04","1","01","","01","003","0000041",411,"4","1"
"0000150","01","1","01","","01","002","0000042",700,"3","1"
"0000151","03","1","01","","01","002","0000042",700,"3","1"
"0000152","04","1","06","","06","002","0000042",700,"3","1"
"0000153","05","1","02","","02","002","0000042",700,"3","1"
"0000154","01","1","02","","02","002","0000043",717,"3","1"
