"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_7","P7_8","P7_9","P7_10","P7_11","P7_12","P7_13_1","P7_13_2","P7_14","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000706","04","1","01","01","1","0375000","03000","60","50","0320000","99","0","00","014","0000166",1220,"4","1"
"0000708","01","1","01","01","1","0130000","05300","36","08","0054000","99","9","00","014","0000167",1394,"4","1"
"0000726","02","1","01","01","1","0160000","12000","24","12","0150000","15","0","00","009","0000172",1791,"3","1"
"0000736","05","1","02","01","4","","","","","","","","","009","0000174",2255,"3","1"
"0000749","03","1","04","01","4","","","","","","","","","009","0000178",2115,"3","1"
"0000751","05","1","02","01","1","0340000","06000","60","48","9999999","06","0","00","009","0000178",2115,"3","1"
"0000785","02","1","01","01","4","","","","","","","","","008","0000188",1936,"2","1"
"0000804","05","1","01","01","1","0150000","10000","24","99","0050000","99","9","00","010","0000193",1252,"4","1"
"0000827","02","1","03","01","4","","","","","","","","","008","0000200",3574,"2","1"
"0000880","01","1","03","01","4","","","","","","","","","010","0000214",1286,"4","1"
"0000887","04","1","01","01","2","0085000","01800","48","31","0065000","22","0","00","010","0000215",1235,"4","1"
"0000888","05","1","02","01","4","","","","","","","","","010","0000215",1235,"4","1"
"0000889","01","1","01","01","2","9999999","03750","60","26","9999999","99","9","00","010","0000216",1237,"4","1"
"0000910","02","1","04","01","1","0250000","04000","60","24","0100000","99","9","00","010","0000222",1289,"4","1"
"0000931","08","1","02","01","1","0360000","06000","60","33","0120000","99","9","06","018","0000227",2884,"2","2"
"0000932","09","1","01","01","4","","","","","","","","","018","0000227",2884,"2","2"
"0000950","15","1","05","01","1","0200000","03600","72","48","0140000","99","9","00","018","0000228",3115,"3","2"
"0000973","13","1","03","01","1","0280000","05000","60","24","0100000","99","9","00","019","0000232",3405,"2","3"
"0001051","03","1","01","01","2","0350000","11000","60","54","0300000","13","5","00","023","0000239",285,"4","1"
"0001078","01","1","01","01","4","","","","","","","","","021","0000247",389,"2","1"
"0001087","05","1","01","01","2","0080000","03000","18","18","9999999","99","9","00","023","0000249",265,"4","1"
"0001089","02","1","01","01","1","0194000","03500","72","66","0140000","12","0","00","023","0000250",251,"4","1"
"0001091","04","1","01","01","2","0085000","02500","48","36","0078000","99","9","00","023","0000250",251,"4","1"
"0001091","04","1","02","01","2","0180000","02500","48","36","0100000","99","9","00","023","0000250",251,"4","1"
"0001101","05","1","01","01","1","0170000","03500","60","12","0025000","99","9","00","022","0000254",387,"3","1"
"0001104","05","1","01","01","1","0500000","10000","48","36","0250000","99","9","00","022","0000255",323,"3","1"
"0001106","02","1","03","01","1","0300000","05000","60","48","0200000","16","4","00","023","0000256",244,"4","1"
"0001132","01","1","01","01","1","0240000","03200","75","26","0076800","06","4","00","022","0000264",351,"3","1"
"0001136","05","1","01","01","1","0300000","05200","72","62","0250000","99","9","10","022","0000264",351,"3","1"
"0001152","04","1","01","01","1","0263000","04000","60","04","0016000","99","9","00","022","0000268",341,"3","1"
"0001155","02","1","02","01","1","0210000","05500","48","12","0066000","99","9","03","022","0000269",364,"3","1"
"0001156","03","1","01","01","1","0230000","04300","60","24","0180000","99","9","00","022","0000269",364,"3","1"
"0001160","05","1","01","01","1","0221000","03400","72","24","0080000","13","5","00","021","0000270",398,"2","1"
"0001167","04","1","02","01","4","","","","","","","","","022","0000272",402,"3","1"
"0001172","02","1","01","01","2","0105000","02800","60","60","0105000","99","9","00","023","0000274",193,"4","1"
"0001194","01","1","01","01","1","0200000","04300","60","24","0080000","99","9","00","023","0000281",236,"4","1"
"0001195","02","1","01","01","2","0106000","03200","72","08","0026000","13","0","02","023","0000281",236,"4","1"
"0001214","03","1","01","01","1","0230000","06100","48","24","0115000","99","9","00","022","0000286",452,"3","1"
"0001214","03","1","01","02","1","0230000","06100","48","24","0115000","99","9","00","022","0000286",452,"3","1"
"0001214","03","1","01","03","2","0240000","04000","60","48","9999999","99","9","00","022","0000286",452,"3","1"
"0001225","05","1","02","01","4","","","","","","","","","023","0000288",332,"4","1"
"0001237","02","1","02","01","1","9999999","05600","24","99","9999999","99","9","00","023","0000292",224,"4","1"
"0001238","03","1","01","01","4","","","","","","","","","023","0000292",224,"4","1"
"0001248","01","1","01","01","4","","","","","","","","","023","0000296",224,"4","1"
"0001257","04","1","01","01","1","9999888","99888","60","55","9999888","99","9","00","023","0000298",227,"4","1"
"0001278","08","1","01","01","4","","","","","","","","","027","0000302",543,"3","2"
"0001280","11","1","01","01","2","0270000","05800","60","42","0200000","11","0","00","027","0000302",543,"3","2"
"0001313","14","1","01","01","1","0230000","03700","72","48","0180000","12","0","00","024","0000304",523,"2","2"
"0001324","09","1","02","01","2","0150000","03000","72","08","0040000","99","9","00","024","0000305",683,"2","2"
"0001331","16","1","01","01","2","0180000","04000","48","36","0132000","09","9","00","024","0000305",683,"2","2"
"0001335","20","1","02","01","4","","","","","","","","","024","0000305",683,"2","2"
"0001337","02","1","01","01","1","0150000","03800","60","12","0037000","99","9","00","026","0000306",284,"4","2"
"0001337","02","1","02","01","1","0240000","06000","60","36","0216000","99","9","00","026","0000306",284,"4","2"
"0001338","03","1","01","01","1","0150000","04029","72","24","9999999","99","9","00","026","0000306",284,"4","2"
"0001341","07","1","01","01","4","","","","","","","","","026","0000306",284,"4","2"
"0001342","08","1","02","01","2","0230000","06000","60","48","0150000","99","9","00","026","0000306",284,"4","2"
"0001343","09","1","02","01","3","0200000","05700","60","48","0178000","12","0","00","026","0000306",284,"4","2"
"0001344","10","1","01","01","3","0160000","04217","60","31","0126517","12","9","00","026","0000306",284,"4","2"
"0001345","12","1","02","01","4","","","","","","","","","026","0000306",284,"4","2"
"0001350","17","1","01","01","4","","","","","","","","","026","0000306",284,"4","2"
"0001367","17","1","01","01","1","0110000","03500","60","14","0065000","09","5","01","024","0000307",746,"2","2"
"0001373","03","1","01","01","1","0100000","04000","48","12","0043000","99","9","00","025","0000308",347,"3","2"
"0001382","14","1","02","01","3","0110000","03500","12","10","0080000","99","9","00","025","0000308",347,"3","2"
"0001383","15","1","01","01","3","0700000","20000","48","30","0600000","13","0","00","025","0000308",347,"3","2"
"0001388","02","1","03","01","2","0230000","03500","60","48","0125000","13","9","00","026","0000309",284,"4","2"
"0001393","08","1","01","01","1","0240000","05500","60","60","0240000","99","9","00","026","0000309",284,"4","2"
"0001400","15","1","01","01","4","","","","","","","","","026","0000309",284,"4","2"
"0001404","19","1","01","01","4","","","","","","","","","026","0000309",284,"4","2"
"0001407","03","1","02","01","1","9999999","06500","56","12","9999999","99","9","00","026","0000310",299,"4","2"
"0001416","12","1","03","01","1","0250000","02600","60","59","0109000","10","0","00","026","0000310",299,"4","2"
"0001459","18","1","01","01","4","","","","","","","","","027","0000312",503,"2","2"
"0001494","01","1","01","01","1","0080000","03000","36","12","0040000","99","9","00","028","0000315",769,"2","3"
"0001501","09","1","01","01","1","0200000","10500","24","11","9999999","99","9","00","028","0000315",769,"2","3"
"0001514","05","1","02","01","4","","","","","","","","","028","0000316",1012,"2","3"
"0001541","16","1","02","01","1","0270000","04875","36","24","0170000","99","9","00","029","0000317",393,"3","3"
"0001542","18","1","02","01","4","","","","","","","","","029","0000317",393,"3","3"
"0001549","05","1","03","01","4","","","","","","","","","031","0000318",374,"2","4"
"0001549","05","1","04","01","4","","","","","","","","","031","0000318",374,"2","4"
"0001573","09","1","01","01","4","","","","","","","","","030","0000319",371,"1","4"
"0001593","15","1","03","01","2","0013000","00704","36","12","0010000","99","9","00","031","0000320",306,"2","4"
"0001600","04","1","01","01","4","","","","","","","","","031","0000321",334,"2","4"
"0001603","08","1","01","01","1","0200000","03000","60","24","0070000","99","9","00","031","0000321",334,"2","4"
"0001604","10","1","02","01","4","","","","","","","","","031","0000321",334,"2","4"
"0001635","01","1","01","01","2","0230000","08300","36","28","0190000","13","0","00","034","0000324",105,"4","1"
"0001645","01","1","01","01","1","0270000","04500","60","51","0229500","99","9","00","034","0000327",86,"4","1"
"0001645","01","1","01","02","1","0270000","04500","60","24","0108000","99","9","00","034","0000327",86,"4","1"
"0001647","03","1","01","01","2","0280000","03000","60","12","0050000","11","7","00","034","0000327",86,"4","1"
