"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_7","P7_8","P7_9","P7_10","P7_11","P7_12","P7_13_1","P7_13_2","P7_14","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0003284","01","1","01","01","1","0250000","02500","30","99","0175000","13","0","00","069","0000689",1564,"3","1"
"0003287","05","1","01","01","1","0122000","03800","48","30","9999999","99","9","04","070","0000690",259,"4","1"
"0003299","02","1","01","01","1","0250000","02500","36","34","0240000","99","9","00","069","0000694",1291,"3","1"
"0003301","04","1","01","01","2","0360000","06500","60","40","0180000","03","7","00","069","0000694",1291,"3","1"
"0003307","05","1","01","01","1","0181000","02800","72","13","0060000","10","0","00","069","0000696",1045,"3","1"
"0003310","03","1","01","01","1","0313000","02800","48","16","0050000","99","9","00","069","0000697",1050,"3","1"
"0003325","01","1","01","01","1","0220000","04500","60","48","0200000","99","9","00","070","0000702",307,"4","1"
"0003326","02","1","02","01","2","0130000","02800","60","40","0085000","12","0","00","070","0000702",307,"4","1"
"0003333","02","1","01","01","4","","","","","","","","","069","0000704",1448,"3","1"
"0003341","03","1","01","01","1","0166000","02500","48","10","0025000","99","9","00","070","0000706",322,"4","1"
"0003349","05","1","03","01","1","0200000","03543","60","26","9999999","99","9","00","070","0000708",299,"4","1"
"0003350","01","1","01","01","2","0175000","05400","36","24","0120000","09","9","00","070","0000709",319,"4","1"
"0003353","02","1","01","01","1","0180000","05000","48","36","9999999","16","0","00","070","0000710",325,"4","1"
"0003412","04","1","01","01","4","","","","","","","","","071","0000720",1320,"3","2"
"0003525","18","1","02","01","4","","","","","","","","","080","0000729",2622,"1","4"
"0003673","07","1","01","01","1","0250000","06000","48","22","0150000","11","0","00","080","0000738",3377,"1","4"
"0003707","09","1","03","01","4","","","","","","","","","080","0000740",3534,"1","4"
"0003717","02","1","01","01","1","0200000","03400","60","36","0100000","11","0","00","089","0000741",3022,"3","1"
"0003720","01","1","02","01","1","0080000","01800","36","30","0060000","99","9","00","089","0000742",2401,"3","1"
"0003747","02","1","01","01","1","0168000","02700","72","63","9999999","99","9","00","085","0000749",2099,"3","1"
"0003755","01","1","01","01","1","0100000","03000","48","13","9999999","99","9","00","086","0000751",944,"4","1"
"0003758","05","1","01","01","3","0200000","04300","72","66","0200000","99","9","00","086","0000751",944,"4","1"
"0003758","05","1","01","02","1","0200000","04000","60","14","0070000","99","9","00","086","0000751",944,"4","1"
"0003766","05","1","02","01","1","0220000","03800","72","15","0070000","99","9","00","086","0000754",1116,"4","1"
"0003778","02","1","02","01","1","0500000","14000","18","06","0200000","13","0","00","086","0000759",1258,"4","1"
"0003778","02","1","02","02","1","0600000","09000","48","24","0200000","12","0","00","086","0000759",1258,"4","1"
"0003790","01","1","02","01","1","0160000","04000","60","14","9999999","03","0","00","086","0000763",1225,"4","1"
"0003791","02","1","01","01","1","0250000","04500","72","36","0150000","09","8","00","086","0000763",1225,"4","1"
"0003795","05","1","01","01","1","0099000","02800","36","21","0060000","14","9","00","085","0000764",1852,"3","1"
"0003798","03","1","01","01","1","0230000","05000","60","25","0110000","99","9","00","085","0000765",2008,"3","1"
"0003799","04","1","04","01","1","0320000","04200","60","36","9999999","99","9","00","085","0000765",2008,"3","1"
"0003806","03","1","01","01","4","","","","","","","","","085","0000767",2263,"3","1"
"0003829","02","1","02","01","2","0110000","06500","72","60","9999999","18","0","00","085","0000773",2180,"3","1"
"0003831","04","1","01","01","1","9999888","99888","60","50","9999888","13","9","00","085","0000773",2180,"3","1"
"0003850","05","1","02","01","2","0300000","08000","60","58","0295000","42","0","00","086","0000777",1149,"4","1"
"0003862","03","1","01","01","1","0200000","05000","48","20","0120000","99","9","00","086","0000780",1047,"4","1"
"0003882","04","1","01","01","1","9999999","99999","99","99","9999999","99","9","00","086","0000785",1068,"4","1"
"0003911","02","1","01","01","1","0150000","03000","60","24","9999999","10","0","00","088","0000795",2541,"2","1"
"0003916","05","1","01","01","1","0100000","05000","24","12","0050000","12","0","00","088","0000796",2294,"4","1"
"0003916","05","1","01","02","1","0150000","08000","24","14","0090000","12","0","00","088","0000796",2294,"4","1"
"0003920","01","1","01","01","2","9999888","08000","60","99","9999888","99","9","00","083","0000798",1311,"4","1"
"0003921","02","1","01","01","2","0130000","03500","60","30","0060000","12","0","00","083","0000798",1311,"4","1"
"0003923","04","1","01","01","1","0200000","05500","60","24","0080000","99","9","00","083","0000798",1311,"4","1"
"0003924","05","1","01","01","4","","","","","","","","","083","0000798",1311,"4","1"
"0003931","03","1","01","01","4","","","","","","","","","081","0000800",3279,"2","1"
"0003947","02","1","03","01","1","0100000","04000","48","32","0080000","07","0","00","083","0000805",1591,"4","1"
"0003948","03","1","02","01","1","0220000","06800","48","18","0090000","13","0","00","083","0000805",1591,"4","1"
"0003963","04","1","02","01","4","","","","","","","","","083","0000810",1683,"4","1"
"0003964","01","1","03","01","1","0200000","03000","60","40","0120000","99","9","00","081","0000811",2778,"2","1"
"0003968","02","1","01","01","4","","","","","","","","","081","0000812",2699,"2","1"
"0003974","03","1","04","01","1","0080000","07000","48","30","0066000","99","9","00","081","0000813",2869,"2","1"
"0003979","02","1","01","01","2","0390000","11000","48","45","0370000","12","9","00","082","0000815",1779,"3","1"
"0003982","01","1","02","01","1","0225000","06600","84","81","0210000","99","9","00","083","0000816",1460,"4","1"
"0003993","02","1","01","01","2","0100000","03000","48","36","0070000","99","9","00","082","0000818",1946,"3","1"
"0004001","02","1","01","01","1","0200000","05000","60","18","0070000","14","5","00","083","0000820",1214,"4","1"
"0004013","05","1","01","01","2","0250000","06000","48","24","0120000","08","5","00","083","0000823",1322,"4","1"
"0004029","04","1","02","01","4","","","","","","","","","081","0000827",3279,"2","1"
"0004043","04","1","02","01","1","0275000","06300","48","18","0104000","14","0","00","082","0000831",2182,"3","1"
"0004108","04","1","01","01","1","0080000","06000","12","01","0006000","12","0","00","083","0000845",1264,"4","1"
"0004110","03","1","01","01","2","0150000","02000","24","06","0050000","04","0","00","083","0000846",1298,"4","1"
"0004112","05","1","02","01","2","0150000","06000","36","34","0144000","09","0","00","083","0000846",1298,"4","1"
"0004124","02","1","01","01","4","","","","","","","","","081","0000849",2587,"2","1"
"0004135","09","1","02","01","1","0340000","03800","60","36","0208000","99","9","00","090","0000850",2172,"3","2"
"0004264","01","1","02","01","4","","","","","","","","","096","0000860",2904,"4","1"
"0004275","05","1","01","01","1","0250000","04800","36","24","0195000","35","5","00","095","0000862",6156,"3","1"
"0004285","02","1","01","01","2","0100000","05000","36","18","0050000","99","9","00","096","0000865",3005,"4","1"
"0004285","02","1","04","01","1","9999999","06000","48","47","9999999","99","9","00","096","0000865",3005,"4","1"
"0004300","03","1","01","01","1","0160000","06500","48","24","0080000","16","0","00","096","0000869",3255,"4","1"
"0004346","02","1","02","01","1","0260000","05700","60","40","0190000","99","9","00","096","0000882",3227,"4","1"
"0004359","03","1","02","01","1","9999888","03000","36","12","9999999","99","9","00","095","0000886",5034,"3","1"
"0004374","04","1","03","01","4","","","","","","","","","095","0000889",4439,"3","1"
"0004380","01","1","01","01","4","","","","","","","","","094","0000891",5323,"2","1"
"0004385","02","1","01","01","1","0180000","04500","60","48","0090000","99","9","02","095","0000892",3678,"3","1"
"0004448","02","1","01","01","1","9999888","05000","60","50","9999888","99","9","00","096","0000906",3065,"4","1"
"0004456","05","1","02","01","1","0275000","07600","48","36","0200000","99","9","00","094","0000908",5677,"2","1"
"0004461","02","1","01","01","4","","","","","","","","","096","0000910",6834,"4","1"
"0004481","01","1","01","01","1","0070000","03000","36","06","0018000","09","0","00","094","0000915",4639,"2","1"
"0004482","02","1","04","01","1","0250000","04500","36","30","0250000","15","0","00","094","0000915",4639,"2","1"
"0004486","01","1","04","01","1","0180000","03000","05","01","0060000","99","9","00","095","0000916",4357,"3","1"
"0004556","01","1","06","01","4","","","","","","","","","096","0000932",2821,"4","1"
"0004568","04","1","01","01","4","","","","","","","","","096","0000934",3110,"4","1"
"0004594","04","1","01","01","3","0160000","07000","24","14","0070000","99","9","00","096","0000941",3382,"4","1"
"0004599","05","1","03","01","1","0160000","03200","36","22","0100000","33","0","00","096","0000942",2813,"4","1"
"0004612","04","1","01","01","1","0148000","08000","24","09","0072000","99","9","00","095","0000945",4208,"3","1"
"0004615","03","1","02","01","1","0400000","08000","48","05","0040000","12","0","00","095","0000946",5794,"3","1"
"0004622","04","1","03","01","4","","","","","","","","","095","0000948",4435,"3","1"
"0004625","02","2","02","01","1","0210000","05800","36","22","9999999","99","9","00","095","0000949",4618,"3","1"
"0004627","04","1","01","01","1","0500000","15000","36","25","0300000","10","0","00","095","0000949",4618,"3","1"
"0004627","04","1","01","02","1","0150000","08000","24","04","0032000","09","5","00","095","0000949",4618,"3","1"
"0004633","05","1","01","01","1","0100000","04000","60","24","0030000","99","9","00","095","0000950",4495,"3","1"
"0004653","01","1","03","01","1","0220000","07000","60","30","0150000","99","9","00","094","0000956",8193,"2","1"
"0004672","03","1","02","01","1","0230000","04200","48","02","0010000","99","9","05","094","0000960",6014,"2","1"
"0004692","05","1","03","01","4","","","","","","","","","094","0000964",6292,"2","1"
"0004699","05","1","01","01","1","0250000","03200","36","26","0120000","34","0","00","096","0000966",2691,"4","1"
"0004704","04","1","02","01","1","0180000","03800","48","32","0120000","99","9","00","096","0000968",2846,"4","1"
"0004709","04","1","03","01","1","0210000","05500","50","24","0105000","99","9","00","096","0000969",4159,"4","1"
"0004711","01","1","01","01","1","0160000","03200","48","37","0080000","20","0","00","096","0000970",2858,"4","1"
"0004756","05","1","02","01","1","0160000","03500","60","02","0010000","14","0","00","096","0000980",3095,"4","1"
"0004763","02","1","01","01","2","0160000","05490","38","35","0140000","02","0","00","096","0000983",2396,"4","1"
"0004781","03","1","05","01","1","0360000","04200","36","13","9999999","99","9","00","094","0000987",7175,"2","1"
"0004796","02","1","03","01","1","0100000","01000","24","06","0007000","99","9","00","095","0000991",5549,"3","1"
"0004825","05","1","02","01","1","0170000","04000","48","07","0028000","20","3","00","095","0000998",7347,"3","1"
"0004844","04","1","03","01","4","","","","","","","","","100","0001002",1085,"3","1"
"0004845","05","1","02","01","4","","","","","","","","","100","0001002",1085,"3","1"
"0004850","03","1","01","01","1","0200000","07500","48","40","0003000","20","0","00","101","0001004",521,"4","1"
"0004875","02","2","02","01","4","","","","","","","","","100","0001011",1086,"3","1"
"0004878","03","1","02","01","1","0200000","05300","36","01","0005300","04","0","00","100","0001012",1159,"3","1"
"0004885","05","1","01","01","1","0370000","07000","48","20","0200000","12","0","00","101","0001015",737,"4","1"
"0004916","02","1","02","01","4","","","","","","","","","100","0001025",961,"3","1"
"0004918","02","1","02","01","1","9999999","08000","24","10","9999999","09","0","00","101","0001026",521,"4","1"
"0004926","01","1","02","01","2","0150000","05000","36","01","0005000","08","0","00","100","0001029",921,"3","1"
"0004965","03","1","02","01","9","","","","","","","","","101","0001040",460,"4","1"
"0004972","02","1","01","01","4","","","","","","","","","100","0001042",1101,"3","1"
"0004993","03","1","01","01","1","0150000","04000","36","14","0060000","11","0","00","100","0001049",1049,"3","1"
"0004996","01","1","02","01","2","0100000","03000","99","99","9999999","99","9","00","101","0001050",453,"4","1"
"0005015","04","1","01","01","3","0100000","02500","60","06","0015000","09","0","00","101","0001058",574,"4","1"
"0005031","01","1","03","01","4","","","","","","","","","103","0001063",1325,"3","1"
"0005048","01","1","01","01","2","0900000","18000","72","48","0600000","17","0","00","104","0001071",401,"4","1"
"0005062","05","1","01","01","1","0050000","03300","36","24","0035000","99","9","00","104","0001074",324,"4","1"
"0005062","05","1","03","01","1","0180000","03800","60","52","0130000","99","9","00","104","0001074",324,"4","1"
"0005072","01","1","01","01","4","","","","","","","","","103","0001078",1473,"3","1"
"0005085","03","1","02","01","2","0179000","04000","30","12","0070000","99","9","00","104","0001081",351,"4","1"
"0005087","01","1","03","01","3","0077000","03400","24","02","0020000","99","9","02","104","0001082",344,"4","1"
"0005136","14","1","01","01","4","","","","","","","","","106","0001096",1594,"2","2"
"0005166","10","1","04","01","1","0190000","04200","72","42","0140000","09","7","00","106","0001098",1314,"2","3"
"0005222","04","1","01","01","4","","","","","","","","","107","0001102",1459,"1","4"
"0005303","19","1","01","01","4","","","","","","","","","108","0001107",1191,"2","4"
"0005314","04","1","01","01","3","0070000","04000","36","18","0040000","08","0","00","117","0001111",2587,"3","1"
"0005314","04","1","02","01","3","0037000","03620","36","15","0003000","09","9","00","117","0001111",2587,"3","1"
"0005325","05","1","01","01","1","0250000","04000","60","48","0170000","99","9","00","118","0001114",1343,"4","1"
"0005343","04","1","01","01","4","","","","","","","","","118","0001119",1192,"4","1"
"0005344","02","1","02","01","1","0178000","03600","60","34","9999888","99","9","00","118","0001120",1417,"4","1"
"0005345","03","1","01","01","4","","","","","","","","","118","0001120",1417,"4","1"
"0005346","04","1","01","01","1","0350000","05000","60","37","0200000","99","9","00","118","0001120",1417,"4","1"
"0005348","03","1","01","01","2","0140000","03500","60","27","0070000","99","9","00","115","0001121",844,"4","1"
"0005352","04","1","01","01","3","0207000","05000","60","50","0184000","99","9","00","113","0001122",3546,"2","1"
"0005353","05","1","01","01","3","0035000","01800","35","12","9999999","99","9","00","113","0001122",3546,"2","1"
"0005358","01","1","03","01","2","0188000","04000","40","26","0135000","09","0","00","115","0001124",831,"4","1"
"0005368","05","1","01","01","2","0310000","08200","48","24","0150000","99","9","00","115","0001126",1002,"4","1"
"0005369","01","1","02","01","1","0160000","99888","99","99","9999888","99","9","00","114","0001127",3303,"3","1"
"0005370","05","1","01","01","1","0100000","02200","60","36","0060000","99","9","00","114","0001127",3303,"3","1"
"0005381","05","1","01","01","1","0313000","06000","40","36","0060000","12","0","00","114","0001130",2074,"3","1"
"0005422","02","1","04","01","3","0155000","03300","60","36","0080000","99","9","00","109","0001144",2425,"2","1"
"0005426","03","1","01","01","2","0100000","04000","48","12","9999999","04","6","00","111","0001145",1500,"4","1"
"0005430","04","1","02","01","4","","","","","","","","","110","0001146",2431,"3","1"
"0005437","04","1","02","01","1","0250000","02000","48","24","9999999","99","9","00","111","0001148",1762,"4","1"
"0005442","03","1","01","01","1","0150000","05000","36","35","0150000","99","9","00","109","0001150",2690,"2","1"
"0005449","03","1","02","01","4","","","","","","","","","110","0001152",2019,"3","1"
"0005451","02","1","01","01","2","0035000","01700","36","26","0029000","41","0","00","110","0001153",2342,"3","1"
"0005478","01","1","01","01","1","0100000","02500","72","36","0080000","16","0","00","110","0001159",2496,"3","1"
"0005482","01","1","02","01","1","0120000","03000","36","15","0080000","13","0","00","110","0001160",2292,"3","1"
"0005485","01","1","01","01","1","0250000","03500","60","40","0175000","07","0","00","109","0001161",2784,"2","1"
"0005489","01","2","01","01","2","0065000","01750","60","55","0062000","25","0","00","111","0001162",1630,"4","1"
"0005492","01","1","01","01","3","0100000","05000","48","40","0100000","99","9","00","110","0001163",2354,"3","1"
"0005523","04","1","02","01","1","0200000","04000","60","57","0184000","09","9","00","111","0001173",1940,"4","1"
"0005529","03","2","01","01","1","0300000","05000","60","12","0150000","99","9","00","111","0001175",2372,"4","1"
"0005529","03","2","01","02","1","0300000","05000","60","12","0150000","99","9","00","111","0001175",2372,"4","1"
"0005543","01","1","01","01","4","","","","","","","","","119","0001179",2028,"3","1"
"0005549","02","1","01","01","1","0335000","08000","48","38","9999999","99","9","00","120","0001180",1075,"4","1"
"0005556","05","1","01","01","1","0200000","06800","30","26","0180000","03","5","00","119","0001181",2556,"3","1"
"0005561","05","1","01","01","3","0038000","01800","60","30","0020000","99","9","01","119","0001182",2731,"2","1"
"0005562","01","1","01","01","3","0230000","04000","36","18","0150000","11","0","00","120","0001183",873,"4","1"
"0005562","01","1","01","02","3","0200000","04000","36","02","0008000","10","0","00","120","0001183",873,"4","1"
"0005563","02","1","02","01","3","0137000","05600","60","36","0128000","99","9","00","120","0001183",873,"4","1"
"0005567","02","1","02","01","2","9999999","06000","48","12","0060000","99","9","03","123","0001184",3010,"3","2"
"0005579","19","1","01","01","1","0060000","04000","12","03","0012000","99","9","00","123","0001184",3010,"3","2"
"0005585","08","2","01","01","2","0150000","03500","60","48","0130000","15","9","00","122","0001185",4494,"2","2"
"0005595","04","1","01","01","1","0180000","04000","60","48","0120000","99","9","00","122","0001186",4801,"3","2"
"0005601","13","1","01","01","3","0050000","02000","72","64","0020000","04","0","00","122","0001186",4801,"3","2"
"0005601","13","1","01","02","3","0040000","01000","36","31","0034000","03","0","00","122","0001186",4801,"3","2"
"0005612","05","1","01","01","2","0113000","03300","36","18","0080000","14","0","00","121","0001187",2958,"3","2"
"0005615","03","1","02","01","1","0250000","04000","60","12","9999999","12","0","00","121","0001188",2497,"3","2"
"0005615","03","1","02","02","1","0250000","04000","60","24","9999999","12","0","00","121","0001188",2497,"3","2"
"0005616","04","1","02","01","4","","","","","","","","","121","0001188",2497,"3","2"
"0005617","05","1","03","01","2","0100000","04000","48","12","0030000","99","9","00","121","0001188",2497,"3","2"
"0005657","09","1","01","01","3","0280000","05000","60","48","0200000","99","9","00","123","0001194",3075,"2","2"
"0005682","14","1","02","01","4","","","","","","","","","124","0001195",6103,"2","3"
"0005687","19","1","01","01","4","","","","","","","","","124","0001195",6103,"2","3"
"0005725","05","1","02","01","1","0140000","03000","48","12","9999999","08","0","00","126","0001199",4839,"2","4"
"0005772","04","1","01","01","4","","","","","","","","","125","0001202",3966,"1","4"
"0005801","18","1","03","01","1","0200000","02000","36","06","0015000","99","9","00","126","0001203",4327,"2","4"
"0005826","06","1","01","01","4","","","","","","","","","125","0001205",2822,"1","4"
"0005843","07","1","01","01","1","0230000","03000","60","26","0160000","99","9","00","130","0001206",74,"4","1"
"0005854","01","1","01","01","1","0330000","03000","60","36","0250000","99","9","00","130","0001209",107,"4","1"
"0005854","01","1","02","01","1","0100000","02500","12","08","0080000","03","0","00","130","0001209",107,"4","1"
"0005860","09","1","02","01","2","0230000","03500","48","40","0120000","14","0","00","130","0001210",100,"4","1"
"0005873","02","1","01","01","1","0180000","01600","48","08","0030000","99","9","00","129","0001214",858,"3","1"
"0005875","04","1","01","01","4","","","","","","","","","129","0001214",858,"3","1"
"0005916","10","1","01","01","1","0231000","04500","36","25","0154000","09","0","00","130","0001224",102,"4","1"
"0005927","07","1","01","01","1","0300000","08000","36","24","0200000","99","9","00","130","0001227",88,"4","1"
"0005997","05","1","02","01","1","0160000","04500","60","36","0098000","15","0","01","130","0001245",103,"4","1"
"0005999","09","1","01","01","1","0196000","02250","48","18","0050000","99","9","00","130","0001245",103,"4","1"
"0006020","05","1","01","01","9","","","","","","","","","130","0001250",47,"4","1"
"0006026","01","1","01","01","1","0205000","04800","60","48","9999999","99","9","00","130","0001252",29,"4","1"
"0006026","01","1","02","01","4","","","","","","","","","130","0001252",29,"4","1"
"0006046","03","2","01","01","1","0350000","04800","48","24","0125000","99","9","00","131","0001258",3046,"2","1"
"0006059","02","1","02","01","2","0200000","08000","48","24","0100000","12","0","00","132","0001262",1517,"3","1"
"0006060","03","1","02","01","1","0100000","01375","48","12","0060000","99","9","00","132","0001262",1517,"3","1"
"0006060","03","1","03","01","1","0120000","04500","36","05","0022500","99","9","00","132","0001262",1517,"3","1"
"0006075","01","1","01","01","2","0130000","03500","48","24","0080000","23","0","06","133","0001267",2663,"2","1"
"0006098","13","1","02","01","1","0140000","03600","30","10","0035000","99","9","00","135","0001270",1305,"2","2"
"0006162","10","1","04","01","1","0140000","05000","60","36","0100000","99","9","00","136","0001274",3360,"2","3"
"0006278","07","1","01","01","2","0249000","07000","60","07","0160000","99","9","00","137","0001282",2911,"1","4"
"0006311","07","1","01","01","4","","","","","","","","","137","0001284",2600,"1","4"
"0006393","04","1","01","01","4","","","","","","","","","139","0001295",653,"3","1"
"0006434","01","1","02","01","2","0370000","10000","60","36","0220000","09","9","00","140","0001309",465,"4","1"
"0006436","05","1","02","01","1","0290000","04500","52","12","0041000","07","5","00","140","0001309",465,"4","1"
"0006446","02","1","01","01","4","","","","","","","","","138","0001314",4378,"1","1"
"0006453","01","1","01","01","1","0080000","02500","36","04","0010000","99","9","00","140","0001316",508,"4","1"
"0006453","01","1","01","02","1","0190000","05000","36","06","0090000","99","9","00","140","0001316",508,"4","1"
"0006454","02","1","01","01","1","0200000","08000","24","12","0100000","99","9","00","140","0001316",508,"4","1"
"0006465","01","1","01","01","1","0100000","10079","12","01","0010079","06","0","00","140","0001320",532,"4","1"
"0006491","03","1","05","01","4","","","","","","","","","143","0001326",1872,"2","1"
"0006493","05","1","01","01","1","0090000","03000","24","20","0082000","12","0","00","144","0001327",600,"3","1"
"0006512","20","1","01","01","4","","","","","","","","","145","0001329",1974,"2","2"
"0006525","16","1","01","01","1","9999888","05000","36","32","9999999","99","9","00","145","0001330",2025,"2","2"
"0006528","20","1","01","01","4","","","","","","","","","145","0001330",2025,"2","2"
"0006544","17","1","01","01","1","0100000","05860","24","18","0070000","99","9","00","145","0001332",2306,"2","2"
"0006562","06","1","03","01","1","0350000","07000","36","24","0150000","18","0","01","147","0001334",3118,"2","3"
"0006593","01","1","02","01","1","0040000","01800","48","18","0020000","99","9","00","141","0001336",572,"4","3"
"0006600","05","1","02","01","1","0280000","07100","36","24","9999999","99","9","00","141","0001337",422,"4","3"
"0006651","17","1","01","01","1","0350000","04200","60","99","0350000","99","9","00","146","0001345",2413,"2","3"
"0006652","18","1","01","01","4","","","","","","","","","146","0001345",2413,"2","3"
"0006656","10","1","01","01","3","0160000","08500","42","25","0100000","09","5","00","146","0001346",1749,"2","3"
"0006656","10","1","02","01","3","0200000","05000","36","06","0030000","99","9","00","146","0001346",1749,"2","3"
"0006698","14","1","01","01","1","0237000","07000","60","26","0160000","10","0","00","149","0001356",1548,"2","4"
"0006743","05","1","01","01","4","","","","","","","","","148","0001359",1576,"1","4"
"0006768","13","1","01","01","2","0040000","00800","18","05","0010000","99","9","00","149","0001360",1881,"2","4"
"0006769","14","1","01","01","1","0120000","02250","60","24","0050000","99","9","00","149","0001360",1881,"2","4"
"0006770","15","1","02","01","2","0180000","04700","60","20","0100000","99","9","00","149","0001360",1881,"2","4"
"0006797","07","1","02","01","4","","","","","","","","","149","0001362",1819,"2","4"
"0006822","16","1","01","01","4","","","","","","","","","149","0001363",1795,"2","4"
"0006917","01","1","01","01","1","0340000","07000","72","18","0200000","99","9","00","152","0001369",3828,"4","1"
"0006921","03","1","01","01","1","0270000","05700","48","28","0136000","15","0","00","151","0001370",4064,"3","1"
"0006941","01","1","01","01","1","0200000","04000","48","12","0050000","99","9","00","152","0001378",2615,"4","1"
"0006941","01","1","02","01","4","","","","","","","","","152","0001378",2615,"4","1"
"0006945","01","1","01","01","2","0220000","06000","60","24","9999999","01","0","00","151","0001379",4049,"3","1"
"0006947","04","1","01","01","2","0280000","05000","60","55","0250000","09","0","00","151","0001379",4049,"3","1"
"0006968","04","1","02","01","1","0100000","02500","60","24","0050000","99","9","00","151","0001386",4495,"3","1"
"0006968","04","1","02","02","1","0150000","04000","60","24","0075000","99","9","00","151","0001386",4495,"3","1"
"0006973","02","1","02","01","4","","","","","","","","","151","0001388",4247,"3","1"
"0006979","04","1","04","01","1","0230000","04000","60","24","0126000","16","0","02","151","0001390",4247,"3","1"
"0006992","05","1","01","01","3","0120000","05600","24","17","9999999","03","0","00","151","0001394",4210,"3","1"
"0006995","03","1","01","01","1","0230000","06200","48","24","0180000","18","0","00","151","0001395",5057,"3","1"
"0006995","03","1","02","01","1","0200000","05500","48","36","0150000","16","0","01","151","0001395",5057,"3","1"
"0007008","01","1","02","01","4","","","","","","","","","152","0001400",4558,"4","1"
"0007029","01","1","01","01","4","","","","","","","","","155","0001405",4236,"2","1"
"0007036","05","1","01","01","4","","","","","","","","","151","0001406",4055,"3","1"
"0007039","04","1","03","01","2","0160000","06480","36","18","0080000","12","0","00","152","0001407",2723,"4","1"
"0007043","03","1","01","01","4","","","","","","","","","150","0001408",4133,"2","1"
"0007077","05","1","01","01","4","","","","","","","","","152","0001416",2854,"4","1"
"0007087","03","1","02","01","4","","","","","","","","","152","0001419",2034,"4","1"
"0007089","03","1","01","01","2","0087000","03000","48","44","0087000","16","0","00","152","0001420",2584,"4","1"
"0007093","04","1","01","01","3","0100000","03500","48","36","0080000","22","0","00","152","0001421",2188,"4","1"
"0007094","05","1","01","01","4","","","","","","","","","152","0001421",2188,"4","1"
"0007113","02","1","01","01","1","0190000","03650","60","12","0040000","13","0","00","151","0001426",4447,"3","1"
"0007126","02","1","02","01","1","0140000","04000","60","24","0080000","99","9","00","151","0001429",4327,"3","1"
"0007135","05","1","01","01","2","0140000","04300","60","48","0115000","99","9","00","152","0001431",2182,"4","1"
"0007138","03","1","04","01","1","0120000","03500","36","20","0070000","99","9","00","150","0001432",4655,"2","1"
"0007142","02","1","01","01","1","0300000","07000","60","48","0180000","14","5","00","152","0001433",2535,"4","1"
"0007160","01","1","01","01","1","0130000","03600","50","24","0080000","99","9","03","152","0001439",2905,"4","1"
"0007161","02","1","01","01","1","0400000","08000","48","24","0200000","99","9","00","152","0001439",2905,"4","1"
"0007162","03","1","01","01","1","0200000","06000","36","12","0080000","99","9","00","152","0001439",2905,"4","1"
"0007162","03","1","02","01","2","0150000","04000","36","04","0020000","99","9","00","152","0001439",2905,"4","1"
"0007175","01","1","01","01","1","0250000","08000","36","12","0100000","99","9","00","151","0001443",4600,"3","1"
"0007176","04","1","02","01","1","0250000","06000","38","24","0150000","99","9","00","151","0001443",4600,"3","1"
"0007190","04","1","02","01","2","0200000","06000","36","15","0120000","99","9","00","152","0001447",3236,"4","1"
"0007191","01","1","01","01","1","0300000","06000","48","24","0200000","14","9","00","152","0001448",4615,"4","1"
"0007192","02","1","01","01","1","0450000","09000","48","24","0250000","99","9","00","152","0001448",4615,"4","1"
"0007193","03","1","02","01","1","0300000","04900","36","06","0020000","99","9","00","152","0001448",4615,"4","1"
"0007194","04","1","01","01","1","0334000","09200","36","12","0130000","12","0","00","152","0001448",4615,"4","1"
"0007195","01","1","01","01","2","0180000","05000","36","30","0150000","99","9","00","152","0001449",2380,"4","1"
"0007196","02","1","01","01","1","0400000","08000","50","12","0120000","99","9","00","152","0001449",2380,"4","1"
"0007196","02","1","02","01","1","0200000","05000","36","12","0070000","28","0","00","152","0001449",2380,"4","1"
"0007203","03","1","01","01","1","0120000","04150","30","15","0065000","99","9","00","152","0001452",2794,"4","1"
"0007204","05","1","01","01","1","9999999","08000","36","24","9999999","05","0","00","152","0001452",2794,"4","1"
"0007205","03","1","01","01","1","0300000","05000","54","24","0150000","99","9","00","152","0001453",2897,"4","1"
"0007216","13","1","02","01","2","0100000","02700","72","60","0080000","99","9","00","158","0001454",4547,"2","2"
"0007226","02","1","02","01","1","0140000","03600","60","14","0060000","99","9","00","157","0001456",4209,"3","2"
"0007228","06","1","01","01","4","","","","","","","","","157","0001456",4209,"3","2"
"0007252","03","1","01","01","1","0400000","07000","60","24","0200000","99","9","00","157","0001460",3769,"3","2"
"0007261","15","1","06","01","1","0250000","04800","60","36","9999999","99","9","00","157","0001460",3769,"3","2"
"0007265","01","1","01","01","2","0230000","09000","24","08","0047000","99","9","00","158","0001461",4315,"3","2"
"0007283","19","1","01","01","1","0210000","04000","36","12","0096000","99","9","00","158","0001461",4315,"3","2"
"0007283","19","1","02","01","1","0260000","07200","36","08","0060000","99","9","00","158","0001461",4315,"3","2"
"0007283","19","1","03","01","1","0430000","08000","36","12","0120000","99","9","00","158","0001461",4315,"3","2"
"0007356","05","1","01","01","1","0130000","04600","72","38","0098000","99","9","00","159","0001466",6389,"3","3"
"0007364","15","1","01","01","4","","","","","","","","","159","0001466",6389,"3","3"
"0007376","05","1","01","01","1","0220000","04135","60","26","0115000","99","9","00","152","0001469",2811,"4","1"
